jp	ko
<01>\n<05>。？	<01>\n<05>。？
<01>\n<05>ホカ	<01>\n<05>ホカ
<01>\n<05>ホサ	<01>\n<05>ホサ
<02>る<1E>＋<1E>。<1E>「ュひ	<02>る<1E>＋<1E>。<1E>「ュひ
<03><01>アイテムアイコンを選択せよ<03>	<03><01>아이템 아이콘을 선택하라<03>
<03><01>何か行動せよ<03>	<03><01>무언가 행동<03>
<03><01>敵の前方向に移動せよ<03>	<03><01>적의 앞으로 이동<03>
<03><01>敵の右方向に移動せよ<03>	<03><01>적의 우측으로 이동<03>
<03><04>口口口<05>START<05>口口口	<03><04>口口口<05>START<05>口口口
<03><05>プロテクトキー1<03>	<03><05>프로텍트 키1<03>
<03><05>プロテクトキー2<03>	<03><05>프로텍트 키2<03>
<03><05>プロテクトキー3<03>	<03><05>프로텍트 키3<03>
<03>\n(フルゲージ クラス)<03>	<03>\n(풀게이지 클래스)<03>
<03>\n(フルゲージクラス)<03>	<03>\n(풀게이지클래스)<03>
<03>\n1号機ローター・パイル<03>	<03>\n1호기 로터・파일<03>
<03>\n2号機ローター・パイル<03>	<03>\n2호기 로터・파일<03>
<03>\n3号機ローター・パイル<03>	<03>\n3호기 로터・파일<03>
<03>\n4号機ローター・パイル<03>	<03>\n4호기 로터・파일<03>
<03>\n5号機ローター・パイル<03>	<03>\n5호기 로터・파일<03>
<03>\n6号機ローター・パイル<03>	<03>\n6호기 로터・파일<03>
<03>\nAGILITY CLASS<03>	<03>\nAGILITY CLASS<03>
<03>\nATTACK CLASS<03>	<03>\nATTACK CLASS<03>
<03>\nDEFENSE CLASS<03>	<03>\nDEFENSE CLASS<03>
<03>\nEXCELLENT！！<03>	<03>\nEXCELLENT！！<03>
<03>\nFULLーGAUGE CLASS<03>	<03>\nFULL-GAUGE CLASS<03>
<03>\nHARD FIGHT<03>	<03>\nHARD FIGHT<03>
<03>\nNICE FIGHT<03>	<03>\nNICE FIGHT<03>
<03>\nPOISON(ポイズン)<03>	<03>\nPOISON(포이즌)<03>
<03>\nSPIRITUAL CLASS<03>	<03>\nSPIRITUAL CLASS<03>
<03>\nTOUGH FIGHT<03>	<03>\nTOUGH FIGHT<03>
<03>\nVERY GOOD！<03>	<03>\nVERY GOOD！<03>
<03>\n「STUN(スタン)」<03>	<03>\n「STUN(스턴)」<03>
<03>\nセストレン<03>	<03>\n세스트렌<03>
<03>\nバーサーク<03>	<03>\n버서크<03>
<03>\nホーミングレーザー<03>	<03>\n호밍 레이저<03>
<03>\n心技力<03>	<03>\n심기력<03>
<03>\n攻撃力<03>	<03>\n공격력<03>
<03>\n機動力<03>	<03>\n기동력<03>
<03>\n特0号噴進弾<03>	<03>\n특0호분진탄<03>
<03>\n補修ビット<03>	<03>\n보수 비트<03>
<03>\n転送装置<03>	<03>\n전송장치<03>
<03>\n銃<03>	<03>\n총<03>
<03>\n防御力<03>	<03>\n방어력<03>
<05><05><05>素体<05><05><05>	<05><05><05>소체<05><05><05>
<05><05>心技型<05><05>	<05><05>심기형<05><05>
<05><05>攻撃型<05><05>	<05><05>공격형<05><05>
<05><05>標準型<05><05>	<05><05>표준형<05><05>
<05><05>機動型<05><05>	<05><05>기동형<05><05>
<05><05>防御型<05><05>	<05><05>방어형<05><05>
<05>究極形態<05>	<05>궁극형태<05>
<09>\n<05><!F2>ツ<1B><09>	<09>\n<05><!F2>ツ<1B><09>
<09>\n<05><!F2>ヨ<1B><09>	<09>\n<05><!F2>ヨ<1B><09>
<09>\n<05>「フ<07>	<09>\n<05>「フ<07>
<09>\n<05>ェめ<01><19><1B><09>\n<05>ュ<0F><02><09>	<09>\n<05>ェめ<01><19><1B><09>\n<05>ュ<0F><02><09>
<09>\n<05>ェウ<01><19><07>	<09>\n<05>ェウ<01><19><07>
<09>\n<05>ェメ<1B><09>	<09>\n<05>ェメ<1B><09>
<09>\n<05>ェレ<1B><09>	<09>\n<05>ェレ<1B><09>
<09>\n<05>クむ<02><09>	<09>\n<05>クむ<02><09>
<09>\n<05>ヤぬ<01>遣跡最下層	<09>\n<05><!76><!22><01>유적 최하층
<09>\n<05>ュの<02><09>	<09>\n<05>ュの<02><09>
<09>\n<05>ュァ<03><09>	<09>\n<05>ュァ<03><09>
<09>\n<05>ュコ<02><09>	<09>\n<05>ュコ<02><09>
<09>\n<07>)<!CC><01>イスーキスゆゆらもョ。ォ	<09>\n<07>)<!CC><01>イスーキスゆゆらもョ。ォ
<09>\n<07>)<!CC><1D><01>イスェースゆゆりもョ。ォ	<09>\n<07>)<!CC><1D><01>イスェースゆゆりもョ。ォ
<09>\n<07><!D3>神<07>	<09>\n<07><!D3>신<07>
<09>\n<07><09>」<01><07>	<09>\n<07><09>」<01><07>
<09>\n<07><13>「も<09><01>む<1D><1B>	<09>\n<07><13>「も<09><01>む<1D><1B>
<09>\n<07><13>チ\n<09>	<09>\n<07><13>チ\n<09>
<09>\n<07>に<05><1D><01>(調べものをしているようだ)	<09>\n<07><!21><05><1D><01>(뭔가 조사를 하는 듯)
<09>\n<07>ひめ<01><07>	<09>\n<07>ひめ<01><07>
<09>\n<07>ョ<10><01>イスョイスゆれろもョ。ォ	<09>\n<07>ョ<10><01>イスョイスゆれろもョ。ォ
<09>\n<08><!CF>ヌ<01><07>	<09>\n<08><!CF>ヌ<01><07>
<09>\n<08>ヒ<!99><02><09>	<09>\n<08>ヒ<!99><02><09>
<09>\n<08>ヒ索<09>	<09>\n<08>ヒ索<09>
<09>\n<08>フヌふ<09>	<09>\n<08>フヌふ<09>
<09>\n<08>フョふ<09>	<09>\n<08>フョふ<09>
<09>\n<08>ホ、<02><09>	<09>\n<08>ホ、<02><09>
<09>\n<08>ルに<01><07>	<09>\n<08>ルに<01><07>
<09>\n<09>ソ…<05><09>	<09>\n<09>ソ…<05><09>
<09>\n<09>ヤ<!CD><1D><10><05><1A><1A><01>イス「ォスゆゆよもョ。ォ	<09>\n<09>ヤ<!CD><1D><10><05><1A><1A><01>イス「ォスゆゆよもョ。ォ
<09>\n\n』<!EA><03><09>	<09>\n\n』<!EA><03><09>
<09>\n\nむ『<01><07>	<09>\n\nむ『<01><07>
<09>\n\n！<05><02><09>	<09>\n\n！<05><02><09>
<09>\n\n！ひ<02><09>	<09>\n\n！ひ<02><09>
<09>\n\n！ウ<01><07>	<09>\n\n！ウ<01><07>
<09>たちのやるべき事をやる…	<09>들이 해야 할 일을 한다…
<0C>たりな	<0C>거나
<0C>ったら、見せてくれよ	<0C>하면,보여줘
<0C>る	<0C>하다
<0D>\n<05>ホト	<0D>\n<05>ホト
<0D>し…	<0D>이고…
<0D>すんじゃねえよ	<0D>하지 마
<0D>ぞ	<0D>다
<0D>ぞ…	<0D>다…
<0D>る	<0D>하다
<0D>る…)	<0D>하다…)
<0D>るらしい	<0D>하는 듯하다
<0D>るんだ…	<0D>하는 거야…
<0D>方知ってるか？	<0D> 방법 아냐？
<0E>ぜ	<0E>다
<0E>ぜ！	<0E>다！
<0E>だ)	<0E>다)
<0E>な	<0E>군
<0E>？)	<0E>？)
<0F>か？	<0F>인가？
<0F>しな	<0F>이고
<0F>つだけさ	<0F> 뿐이야
<0F>ないようにしてるのか…	<0F>하지 않도록 하는 건가…
<0F>るから	<0F>하니까
<10>\n<05>ルの	<10>\n<05>ルの
<11>、おまえ？	<11>,너？
<11>ら	<11>면
<11>ら…	<11>면…
<12>っと	<12>했다
<12>よ	<12>야
<13>れる	<13>당하다
<14>て	<14>해서
<14>ど	<14>지만
<14>やがったな	<14>했겠다
<15>とがある	<15> 적이 있다
<15>とさ	<15> 거야
<15>とだ	<15> 거다
<16>れているのよ	<16>당하는 거야
<17>い…)	<17>이…)
<17>いので？	<17>이라서？
<17>ておいた	<17>해 두었다
<18>が	<18>지만
<18>る	<18>하다
<1A>うだよ	<1A> 같아
<1B>い方向を	<1B> 방향을
<1B>から…	<1B>니까…
<1B>からな	<1B>니까
<1B>そうだ	<1B> 듯하다
<1B>のは	<1B>것은
<1B>んだけど	<1B>는데
<1D>だろう	<1D>겠지
<1E>いるぞ…	<1E>있다…
<1E>ほしいそうだ	<1E> 원하는 듯하다
<1E>よ	<1E>야
<1E>るな	<1E>마라
<1E>機能解除される	<1E> 기능이 해제된다
<1E>話だ	<1E>이야기다
<1F>だ	<1F>다
<1F>っといてくれ	<1F>해 둬
<1F>思ってる	<1F>생각한다
<1F>連続攻撃	<1F> 연속공격
AGILITY CLASS	AGILITY CLASS
ATTACK CLASS	ATTACK CLASS
BOX<05>GAME	BOX<05>GAME
BP	BP
BPがある程度回復	BP가 어느정도 회복
BPが少し回復	BP조금회복
BPが足りない	BP가 부족하다
BPは最大値	BP는 최대치
BPを100回復する	BP를 100 회복
BPを250回復する	BP를 250 회복
BPを500回復する	BP를 500 회복
BPを50回復する	BP를 50 회복
BP一定率回復 心技型 <03><01>3ゲージ<03>	BP일정률회복 심기형 <03><01>3게이지<03>
B・レーザー	B・레이저
DEFENSE CLASS	DEFENSE CLASS
Dn	Dn
Dーユニットと呼ばれる\n記録版のようなものを\n全て集めた時に変化した\n異様な姿。なんだか、\n儀の<01><01>が\n手の届かないところに\n行ってしまったような\n感じだ…。	D-유닛이라 불리는\n기록판 같은 것을\n전부 모았을 때\n변한 기이한 모습.\n왠지 내 <01><01>가\n손닿지 않는 곳으로\n가 버린 듯한\n느낌이다….
EXCELLENT！！	EXCELLENT！！
EXIT	EXIT
EXP	EXP
EXTRA CLASS	EXTRA CLASS
FULLーGAUGE CLASS	FULLーGAUGE CLASS
HARD FIGHT	HARD FIGHT
HPとBPは最大値	HP와 BP 최대
HPとBPを完全に回復する	HP와 BP를 완전 회복
HPは最大値	HP는 최대치
HPを1000回復する	HP를 1000 회복
HPを200回復する	HP를 200 회복
HPを500回復する	HP를 500 회복
HPを回復する     <03><01>1ゲージ<03>	HP를 회복한다 <03><01>1게이지<03>
HPを大きく回復する  <03><01>1ゲージ<03>	HP를 크게 회복한다 <03><01>1게이지<03>
HPを完全に回復する	HP를 완전 회복
HPを完全に回復する  <03><01>1ゲージ<03>	HP를 완전 회복한다 <03><01>1게이지<03>
HP一定率回復 標準型 <03><01>3ゲージ<03>	HP일정률회복 표준형 <03><01>3게이지<03>
Kn	Kn
Ln	Ln
NICE FIGHT	NICE FIGHT
NO BLOCK	NO BLOCK
NO DATA	NO DATA
SPIRITUAL CLASS	SPIRITUAL CLASS
TOUGH FIGHT	TOUGH FIGHT
VERY GOOD！	VERY GOOD！
\n2番目に高い評価。\n得られる経験値はやや多い。\nアイテムを入手することもある。	두 번째로 높은 평가。\n얻는 경험치는 다소 많다。\n아이템을 입수하는 경우도\n있다。
\n3番目に高い評価。\n得られる経験値は普通。	세 번째로 높은\n평가。얻는 경험치는\n보통。
\n4番目に高い評価。\n得られる経験値はやや少ない。	\n네 번째로 높은 평가。\n얻는 경험치는 다소 적다。
\n<03>\n(アジリティ クラス)<03>	\n<03>\n(어질리티 클래스)<03>
\n<03>\n(アタック クラス)<03>	\n<03>\n(어택 클래스)<03>
\n<03>\n(エクストラ クラス)<03>	\n<03>\n(엑스트라 클래스)<03>
\n<03>\n(エクセレント)<03>	\n<03>\n(엑설런트)<03>
\n<03>\n(スピリチュアル クラス)<03>	\n<03>\n(스피리추얼 클래스)<03>
\n<03>\n(タフファイト)<03>	\n<03>\n(터프 파이트)<03>
\n<03>\n(ディフェンス クラス)<03>	\n<03>\n(디펜스 클래스)<03>
\n<03>\n(ナイスファイト)<03>	\n<03>\n(나이스 파이트)<03>
\n<03>\n(ハードファイト)<03>	\n<03>\n(하드 파이트)<03>
\n<03>\n(ベリーグッド)<03>	\n<03>\n(베리굿)<03>
\n<03>\nEXTRA CLASS<03>	\n<03>\nEXTRA CLASS<03>
\n<05>ケ<14>\n<05>ケェ\n<05>コヨ\n<05>サシクルル	\n<05>ケ<14>\n<05>ケェ\n<05>コヨ\n<05>サシクルル
\n<05>ホッ	\n<05>ホッ
\n<05>ル<1D>	\n<05>ル<1D>
\nHPを回復したり\nバリアを張ったりするバーサーク。	\nHP를 회복하거나\n배리어를 치거나 하는 버서크。
\nエッジの通常攻撃。\n方向ボタンで照準を動かして\n敵を狙い撃ちできる。\nただし、一度に撃てるのは1ヶ所。	\n엣지의 통상 공격。\n방향 버튼으로 조준을 움직여\n적을 노려 쏜다。\n단,한 번에 한 곳。
\nドラゴンの特殊行動。\n敵の防御力を無視した\n強力な攻撃を行う。	드래곤의 특수\n행동。적\n방어력을 무시한\n강력한 공격。
\nドラゴンの通常攻撃。\n複数のレーザーを発射する。\n一度に発射できるレーザーの数には\n制限がある。	\n드래곤의 통상 공격。\n여러 레이저를 발사한다。\n한 번에 쏘는 레이저 수엔\n제한이 있다。
\nマヒ状態になったドラゴンは\nレーザーやバーサークを封じられ\n位置取り以外の行動が\nできなくなってしまう。	\n마비된 드래곤은\n레이저와 버서크가 막혀\n포지셔닝 말고는\n아무것도 못 하게 된다。
\n敵を一定回数攻撃したり\n戦闘の補助を行ったりする\nバーサーク。	적을 일정 횟수\n공격하거나 전투\n보조를 하거나 하는\n버서크。
\n敵全体を攻撃するバーサーク。\n敵との距離に関係なく\nそれぞれに一定ダメージを与える。	\n적 전체를 공격하는 버서크。\n적과의 거리에 관계없이\n각각에게 일정 데미지를 준다。
\n敵全体を攻撃するバーサーク。\n近くの敵にはダメージが大きいが\n遠ざかるほどダメージは弱まる。	적 전체를 공격하는\n버서크。가까운 적에게는\n데미지가 크지만 멀어질수록\n데미지는 약해진다。
\n最も低い評価。\n得られる経験値は最も少ない。	\n가장 낮은 평가。\n얻는 경험치는 가장 적다。
\n最も高い評価。\n得られる経験値は最も多い。\nアイテムを入手することもある。	가장 높은 평가。얻는\n경험치는 가장 많다。\n아이템을 입수하는 경우도\n있다。
…<03>\n1番ゲート<03>	…<03> 1번\n게이트<03>
…Dタイプ01起動確認…	…D타입 01 기동 확인…
………………………………………………■	………………………………………………■
……………………………………………■ 	……………………………………………■ 
…………………………………………■  	…………………………………………■  
………………………………………■   	………………………………………■   
……………………………………■    	……………………………………■    
…………………………………■     	…………………………………■     
………………………………■      	………………………………■      
……………………………■       	……………………………■       
…………………………■        	…………………………■        
………………………■         	………………………■         
……………………■          	……………………■          
…………………■           	…………………■           
………………■            	………………■            
……………■             	……………■             
…………■              	…………■              
………■               	………■               
………そうね	………그러네
……■                	……■                
……くっ…こんな所で、あの発掘物を…	……크윽…이런 곳에서,그 발굴물을…
…■             	…■             
…■                	…■                
…ああ	…아아
…あいつって？	…그 녀석 말이야？
…あいつは！！	…그 녀석은！！
…あなたは？	…당신은？
…あのひとは！？	…그 사람은！？
…あれ、何の話だっけ？	…어라,무슨 얘기였더라？
…あれは、もっと恐ろしいもんだ	…그건,더 무서운 거다
…あんたに見捨てられた街がね！	…당신에게 버림받은 마을이 있잖아！
…いくつかのドラゴンはここで試作された	…몇몇 드래곤은 여기서 시작되었다
…いや、べつに止めやしねえよ	…아니,딱히 말리진 않아
…いや、君ひとりだけだ	…아니,너 혼자뿐이다
…えっ…？	…엣…？
…おまえ、本当にハンターなのか？	…너,정말로 헌터인 거냐？
…おまえさん、遣跡を見たことがあるだろ	…자네,유적을 본 적이 있겠지
…おまえに、ひとつ言っておくことがある	…너에게,한 가지 말해둘 게 있다
…おまえは…あの時の…	…너는…그때의…
…おまえはどうなんだ	…너는 어떤 거냐
…おまえも、少しは	…너도,조금은
…おれたち、どこまで行くのかな？	…우리,어디까지 가는 걸까？
…かつて、一夜にして3つの大陸を	…예전에 하룻밤 사이 세 대륙을
…きっと私と同じように、永い間…	…분명 나와 마찬가지로,오랫동안…
…くそっ…	…젠장…
…くそっ、逃がしたか…	…젠장,놓쳤나…
…こいつらみんな、死んでるのか？	…이놈들 전부,죽은 거냐？
…ここが、ドームなのか…	…여기가,돔인가…
…ここを襲った群れのようにな	…이곳을 습격한 무리처럼 말이지
…この船で、街を出る気はないの？	…이 배로 마을을 떠날 생각은 없나
…これがこの『塔』と呼ばれる	…이것이 이 『탑』이라 불리는
…これ以上、あのひとの邪魔をするな…	…더 이상,그 사람을 방해하지 마…
…ごめんなさい…	…미안해…
…さっきの男…大丈夫かな…	…아까 그 남자…괜찮을까…
…しかたがない…	…어쩔 수 없다…
…じいちゃん？	…할아버지？
…すまん…	…미안하다…
…そういうものなのか？	…그런 건가？
…そういう事だ	…그런 거다
…そうか…	…그런가…
…そうか、なら	…그런가,그럼
…そうだな…	…그렇군…
…そう言うあんたは、何なんだ？	…그렇게 말하는 당신은,뭔데？
…そう願いたいな	…그리 되길 바라네
…そこに、セストレンに何があるのかを…	…그곳 세스트렌에 무엇이 있는지를
…そこまでは知らねえ	…거기까지는 몰라
…そして…すまない	…그리고…미안하다
…そのために私は帰ってきたのだ	…그러기 위해 나는 돌아온 것이다
…それで、修理したのか？	…그래서,수리한 거냐？
…それとこれとは、関係のないことです	…그것과 이것은,관계없는 일입니다
…それに、私のアトルムなら大丈夫だ	…게다가,내 아트룸이라면 괜찮다
…それはできないわ…	…그건 할 수 없어…
…それはな、ワシの仲間達の形見だ	…그건 말이지,내 동료들의 유품이다
…そんなもんがあればの話だがな	…그런 게 있다면 말이지만
…だけど、かんちがいしないで	…하지만,오해하지 마
…ついて来たまえ	…따라오게
…てめえ、ケンカ売ってんのか？	…너,시비 거는 거냐？
…でなければ…	…그렇지 않으면…
…でも、もう元の場所には戻れないぞ…	…하지만 이제 원래로는 못 돌아가…
…でも俺、やっぱり家には戻らないよ	…하지만 역시 집엔 안 돌아갈 거야
…とうとう追いついた！！	…드디어 따라잡았다！！
…どっかで音がしなかったか？	…어디선가 소리가 나지 않았어？
…な、なんでこんな所にいるんだ…	…어,어째서 이런 곳에 있는 거야…
…なあ、エッジ	…이봐,엣지
…なぜ、儀と戦う？	…어째서,나와 싸우지？
…なんだって、わざわざこんな事…	…어째서,굳이 이런 짓을…
…なんだと？	…뭐라고？
…ねえ、エッジ…	…있잖아,엣지…
…ふうん、	…흐응,
…まあいい	…뭐 됐어
…また来たのかよ…	…또 온 거냐…
…まだ…名前も聞いてなかった	…아직…이름도 못 들었다
…まだ、起きないよ	…아직,안 일어나
…まったく、わけがわかんねえぜ	…정말이지,영문을 모르겠어
…もうそろそろ…	…이제 슬슬…
…ものすごい数です	…엄청난 수입니다
…もはや、ここに留まることは難しい	…이제,여기 머무는 건 어렵다
…やっぱり、ここには住めないの？	…역시,여긴 못 사는 거야?
…やめた方がいいよ	…그만두는 게 좋아
…よろしくお願いします…	…잘 부탁드립니다…
…わかった、次から何かするときは	…알았어,다음부터 뭔가 할 때는
…アゼル、君はどうなるんだ？	…아젤,너는 어떻게 되는 거지？
…アゼルはそのために作られた兵器なのだ	…아젤은 그를 위해 만들어진 병기다
…アゼル？ どうかしたのか？	…아젤？무슨 일 있어？
…エッジ…	…엣지…
…クレイメンに聞いたのか…	…크레이멘에게 들은 건가…
…クレイメンめ…	…크레이멘 녀석…
…バカな！	…말도 안 돼
…プ■               	플
…プラ■              	플랜
…プラン■             	플랜트
…プラント■            	플랜트 
…プラントの■           	플랜트 재
…プラントの再■          	플랜트 재기
…プラントの再起■         	플랜트 재기동
…プラントの再起動■        	플랜트 재기동을
…プラントの再起動を■       	플랜트 재기동을 
…プラントの再起動を開■      	플랜트 재기동을 개
…プラントの再起動を開始■     	플랜트 재기동을 개시
…プラントの再起動を開始し■    	플랜트 재기동을 개시했
…プラントの再起動を開始しま■   	플랜트 재기동을 개시했습
…プラントの再起動を開始しまし■  	플랜트 재기동을 개시했습니
…プラントの再起動を開始しました…■	플랜트 재기동을 개시했습니다…
…プラントの再起動を開始しました■ 	플랜트 재기동을 개시했습니다
…中には、ちょいとやばいのもあるがな	…개중엔 좀 위험한 것도 있지만
…主を失ってもその行動を止めはしないか	…주인을 잃어도 행동을 멈추진 않나
…予■                	예
…予備■               	예비
…予備シ■              	예비계
…予備シス■             	예비계통
…予備システ■            	예비계통에
…予備システム■           	예비계통에서
…予備システムで■          	예비계통에서 
…予備システムでの■         	예비계통에서 기
…予備システムでの起■        	예비계통에서 기동
…予備システムでの起動■       	예비계통에서 기동을
…予備システムでの起動を■      	예비계통에서 기동을 
…予備システムでの起動を開■     	예비계통에서 기동을 개
…予備システムでの起動を開始■    	예비계통에서 기동을 개시
…予備システムでの起動を開始し■   	예비계통에서 기동을 개시합
…予備システムでの起動を開始しま■  	예비계통에서 기동을 개시합니
…予備システムでの起動を開始します…■	예비계통에서 기동을 개시합니다…
…予備システムでの起動を開始します■ 	예비계통에서 기동을 개시합니다
…人間に、なったんだよ…	…인간이,된 거야…
…今のガーディアンのこと、考えていたの	…지금 가디언을 생각하고 있었어
…以前はあのひとの望みに答えること、	…예전엔 그 소망에 응하는 것,
…会わせる顔がないんだよ	…볼 낯이 없어
…会わなくていいのかい？	…만나지 않아도 되는 거야？
…何考えてんだ、あいつ？	…뭔 생각인 거야,저 녀석？
…使えないかな	…쓸 수 없으려나
…俺達シーカーの間じゃあ、	…우리 시커들 사이에서는,
…儀は、アゼルと塔に行く	…나는,아젤과 탑으로 간다
…再起動を実行します	…재기동을 실행합니다
…別に、何でもねえよ	…별로,아무것도 아니야
…別人みたいだ	…딴사람 같다
…力…？	…힘…？
…助かったのか…	…살아난 건가…
…問題ない、あそこが出□だ…	…문제없다,저곳이 출구다…
…塔によって再生しても、	…탑에 의해 재생하더라도,
…夢…？	…꿈…？
…実際は、そうでもないんだがな	…실제로는,그렇지도 않지만 말이지
…少年、エッジに宿りし魂…	…소년,엣지에게 깃든 혼…
…帝国軍…	…제국군…
…帝国軍はすでに塔の登頂部から	…제국군은 이미 탑의 정상부에서
…忘れる事はできなくてもね	…잊을 수는 없더라도
…悪いが、それ以上は言えんな…	…미안하지만 그 이상은 못 말하네
…我が一族も、これで終わりか…	…우리 일족도,이걸로 끝인가…
…戦いたけりゃ、勝手に戦って死にやがれ	…싸우고 싶으면 맘대로 싸우다 뒈져
…戦い？	…싸움？
…戻ろう、アゼル	…돌아가자,아젤
…抜け穴？	…빠질 굴
…持ち主の死体も一緒だった	…주인의 시체도 함께였다
…最後に反対者によって作られたものが	…끝으로 반대자가 만들어낸 것이
…正直いって予想外だった…	…솔직히 말해서 예상 밖이었다…
…残るは本艦のみか…	…남은 건 본함뿐인가…
…殺ったのは巣の方だけだ…下手をすると	…해치운 건 둥지 쪽뿐이다…잘못하면
…無事でいてください…	…무사하셔야 해요…
…生きてる…！？	…살아있다…！？
…生きて帰ってくる方が先さ	…살아 돌아오는 게 먼저야
…知りたくなくても	…알고 싶지 않아도
…私は、おまえたちとは違う	…나는,너희들과는 다르다
…移行確認	…이행 확인
…結局、あんたもみんなと同じなんだね…	…결국,당신도 다들과 똑같은 거네…
…結局、ウルを越えることはできなかった	…결국,우르를 뛰어넘을 수는 없었다
…絶対、なにか企んでやがるぜ	…절대,뭔가 꾸미고 있는 거야
…維■                	유
…維持■               	유지
…維持シ■              	유지시
…維持シス■             	유지시스
…維持システ■            	유지시스템
…維持システム■           	유지시스템 
…維持システムの■          	유지시스템 가
…維持システムの活■         	유지시스템 가동
…維持システムの活動■        	유지시스템 가동을
…維持システムの活動を■       	유지시스템 가동을 
…維持システムの活動を開■      	유지시스템 가동을 개
…維持システムの活動を開始■     	유지시스템 가동을 개시
…維持システムの活動を開始し■    	유지시스템 가동을 개시했
…維持システムの活動を開始しま■   	유지시스템 가동을 개시했습
…維持システムの活動を開始しまし■  	유지시스템 가동을 개시했습니
…維持システムの活動を開始しました…■	유지시스템 가동을 개시했습니다…
…維持システムの活動を開始しました■ 	유지시스템 가동을 개시했습니다
…艦橋に攻性生物がびっしりはりついてる	…함교에 공성생물이 빽빽이 붙었다
…落ち着いた？	…진정됐어？
…行くのか？	…가는 거냐？
…行こう…	…가자…
…西に行く？	…서쪽으로 가？
…貴様ら、これがどういう意味か	…네놈들,이게 무슨 의미인지
…防■            	방
…防■                	방
…防御■           	방어
…防御■               	방어
…防御シ■          	방어 시
…防御シ■              	방어 시
…防御シス■         	방어 시스
…防御シス■             	방어 시스
…防御システ■        	방어 시스템
…防御システ■            	방어 시스템
…防御システム■       	방어 시스템의
…防御システム■           	방어 시스템의
…防御システムの■      	방어 시스템의
…防御システムの■          	방어 시스템의
…防御システムの活■         	방어 시스템의 가
…防御システムの活動■        	방어 시스템의 가동
…防御システムの活動を■       	방어 시스템의 가동을
…防御システムの活動を開■      	방어 시스템의 가동을 
…防御システムの活動を開始■     	방어 시스템의 가동을 개
…防御システムの活動を開始し■    	방어 시스템의 가동을 개시
…防御システムの活動を開始しま■   	방어 시스템의 가동을 개시했
…防御システムの活動を開始しまし■  	방어 시스템의 가동을 개시했습
…防御システムの活動を開始しました…■	방어 시스템의 가동을 개시했습니다…
…防御システムの活動を開始しました■ 	방어 시스템의 가동을 개시했습니다
…防御システムの稼■     	방어 시스템의 가
…防御システムの稼働■    	방어 시스템의 가동
…防御システムの稼働に■   	방어 시스템의 가동에
…防御システムの稼働に問■  	방어 시스템의 가동에 문
…防御システムの稼働に問題…■	방어 시스템의 가동에 문제…
…防御システムの稼働に問題■ 	방어 시스템의 가동에 문제
…！？	…！？
…？ 何だよ突然…	…？뭐야 갑자기…
※ムービーで使用した総	※무비에서 쓴 총
※基地の構造概念図	※기지의 구조 개념도
■              	■
■                 	■
。\nバーサークの威力が上がり、\nより少ないBPで\nバーサークを使えるようになる。	。\n버서크의 위력이 상승하여,\n더 적은 BP로\n버서크를 쓸 수 있게 된다。
。\nレーザーの威力が上がるので\nレーザーを多用して戦う場合に\n有効なタイプである。	。레이저의 위력이\n상승하므로 레이저를 많이\n써 싸울 경우에 유효한\n타입이다。
。\n位置取りの速度が上がり、\nすばやく敵を倒すことが\nできるようになる。	。위치 잡기 속도가\n상승하여,재빠르게\n적을 쓰러뜨릴 수\n있게 된다。
。\n能力は平均的なので\n特に欠点はないが\n逆に利点もない。	。능력은 평균적\n이라서 특별한 결\n점은 없지만 반대\n로 장점도 없다
。\n防御力が高いので、\n敵から受けるダメージが小さく、\nHP回復の回数も少なくてすむ。	。방어력이 높아서,적에게\n받는 데미지가 작고,HP\n회복 횟수도 적게 든다。
「守人」の血のせいかねえ	「수인」의 피 탓이려나
「探索兵」の補給は大変だよ	「탐색병」보급은 큰일
「探索兵」達の士気が上がっています	「탐색병」사기가 오르고 있습니다
「滅亡」はない	「멸망」은 없다
「編み人」ギムトによる記録。\n\n以下に記すのは、ウル近辺で発掘した\n情報系構造体に収められていた記録の\n解読をまとめたものである。\nその内容は、ウルの北方に位置する\n『塔』の構造を示している。	「엮는 자」김토의 기록。이하에\n기록하는 것은,우르 부근에서\n발굴한 정보계 구조체에 담겨\n있던 기록을 해독하여 정리한\n것이다。그 내용은,우르의\n북쪽에 위치한 『탑』의 구조를\n나타내고 있다。
「編み人」ザドクによる記録。\n\n旧世紀の支配者たちは、この世界の\n命を支え、それを斉かすであろう\n人間の数と力を抑えるため、各地に\n強力な管理機構を遣した。\nそれが『塔』である。	「엮는 자」자독의 기록。\n구세기의 지배자들은,이 세계의\n생명을 지탱하고,그것을 위협할\n인간의 수와 힘을 억제하기\n위해,각지에 강력한 관리\n기구를 남겼다。그것이\n『탑』이다。
「編み人」ノアデアによる記録。\n\n遣跡内にある機械のほとんどは\nエンジンなどの動力系構造体だが、\nごくまれに、映像や音声を記録する\nための、情報系構造体が発見される\nことがある。	「엮는 자」노아데아의 기록。\n유적 내에 있는 기계 대부분은\n엔진 등의 동력계\n구조체이지만,아주\n드물게,영상이나 음성을\n기록하기 위한 정보계 구조체가\n발견되는 경우가 있다。
「護り火」じゃ、帝国は止められないぜ	「수호의 불」로는 제국을 못 막아
「護り火」については、調べがついている	「수호의 불」조사는 끝났다
「護り火」の火種は、教会の聖堂にある	「수호의 불」불씨는 성당에 있다
