jp	kind	budget	count	modules
そうすりゃ、死んだ子の事を考えずにすむ	dialog	39	1	TWN_CARA
…忘れる事はできなくてもね	dialog	27	1	TWN_CARA
ガッシュがよこしてきたって事は…	dialog	33	1	TWN_CARA
あんた、なんかわけありだね	dialog	27	1	TWN_CARA
あんたも、遣跡を掘り返してるのかい？	dialog	37	1	TWN_CARA
シーカーみたいにさ	dialog	19	1	TWN_CARA
人見知りが激しい娘でね…	dialog	25	1	TWN_CARA
あたしも困ってるんだよ	dialog	23	1	TWN_CARA
あのひと、また妙な物売りつけたんだね…	dialog	39	1	TWN_CARA
役に立たなかったら、突っ返すんだよ	dialog	35	1	TWN_CARA
遠慮はいらないからね	dialog	21	1	TWN_CARA
バイカの家内のコウです、よろしくね	dialog	35	1	TWN_CARA
帝国ってのはひどい奴らだね、まったく	dialog	37	1	TWN_CARA
やっと、ここまでたどり着いたってのにさ	dialog	39	1	TWN_CARA
腰を落ちつけるのは、当分おあずけだねえ	dialog	39	1	TWN_CARA
アンユウも、少しは救われたかねえ…	dialog	35	1	TWN_CARA
息子の死に目には会えたんだもの	dialog	31	1	TWN_CARA
まだ、仕事は片づかないのかい？	dialog	31	1	TWN_CARA
この辺は、食べ物が多いから助かるよ	dialog	35	1	TWN_CARA
ちょっといい感じの所だね	dialog	25	1	TWN_CARA
故郷の村を思い出すよ	dialog	21	1	TWN_CARA
あの子にも見せてやりたかったねえ…	dialog	35	1	TWN_CARA
あんたも、腰をすえて暮らした方がいいよ	dialog	39	1	TWN_CARA
無理が効くのは、若いうちだけなんだから	dialog	39	1	TWN_CARA
男どもは、さっさと発ちたがってるけど…	dialog	39	1	TWN_CARA
そんなに急ぐ事ないのにねえ	dialog	27	1	TWN_CARA
折り入って話があるんだけどね	dialog	29	1	TWN_CARA
うちのフェイを、嫁にする気はないかい？	dialog	39	1	TWN_CARA
あの子もそのつもりみたいだし…	dialog	31	1	TWN_CARA
悪い話じゃないだろ？	dialog	21	1	TWN_CARA
え？ でも、儀は…	dialog	19	1	TWN_CARA
わかってるって、わけありなんだろ？	dialog	35	1	TWN_CARA
そんな事、気にしやしないよ	dialog	27	1	TWN_CARA
い、いや、そうじゃなくて…	dialog	27	1	TWN_CARA
アンユウも、あんたを気に入ってるんだよ	dialog	39	1	TWN_CARA
厄介事が片づいてからでいいからさ	dialog	33	1	TWN_CARA
ゆっくり考えとくれ	dialog	19	1	TWN_CARA
あの乗り物、アンユウ達が見つけたんだよ	dialog	39	1	TWN_CARA
乗ってた男の子は死んじまったけど…	dialog	35	1	TWN_CARA
助けてやりたかったねえ…	dialog	25	1	TWN_CARA
バカな子だね…	dialog	15	1	TWN_CARA
別に、斉えることないだろ	dialog	25	1	TWN_CARA
いつまでも旅慣れしないねえ、おまえは	dialog	37	1	TWN_CARA
お母さん、攻性生物や帝国が恐くないの？	dialog	39	1	TWN_CARA
あたしが恐いのはね	dialog	19	1	TWN_CARA
食べ物と水の減り具合だけだよ	dialog	29	1	TWN_CARA
アンユウのおじさん達、遅いね	dialog	29	1	TWN_CARA
ハンターがいないと心細いかい？	dialog	31	1	TWN_CARA
大丈夫、香石は夜まで充分もつよ	dialog	31	1	TWN_CARA
こいつはいい遣跡だな	dialog	21	1	TWN_EXCA
ちぇっ、ガラクタしか残ってねえや	dialog	33	1	TWN_EXCA
連中より先に、ここを見つけてりゃなあ	dialog	37	1	TWN_EXCA
黒い艦隊か…	dialog	13	1	TWN_EXCA
ずいぶん派手に動いてやがるな	dialog	29	1	TWN_EXCA
連中、一体何をやらかそうってんだ？	dialog	35	1	TWN_EXCA
発掘を所隊するが長い儀を待けている。\n出はエッジに旧世を紀すと戦に艦える。\n	dialog	75	1	TWN_EXCA
エッジは、キャラバンとの使資との\n材置から「ゾア」と場ばれる貴の\n重尋を残る。\n何きな貴ならば、クレイメン架発に\n橋する壊がかりがつかめるかも\nしれない。\n \n(向側渡・落遣セリフ跡み気み間記)\n	dialog	189	1	TWN_EXCA
キャラバンのリーダーに材ったエッジ。\nリーダーから、エッジが憶っている全一の\n架発(クレイメン架発)は運見入□\n(ゲオルギウス)へと爆かったのでは\nないかとの置を破く。\n \n(向側渡・落遣デモイベント大丈間記)\n	dialog	206	1	TWN_EXCA
夫逃の目資から置を破くエッジ。\nこの前くには「乗」と場ばれる地歩があり\nクレイメン架発はそこに爆かったという。\nこの貴に使んでいるパエットという塔が、\n乗の行を今しく残っているらしい。\nエッジは、その塔が怖いたという乗の早を\n壊に決れる。そこには、ドラゴンが隊せた\n彼と女じ連中があった。\n \n(向側渡・落遣先黒派手間記)\n	dialog	315	1	TWN_EXCA
\n<05>ロの\n<05>ロト遣跡を最下するが層い何を光けている。\n近はエッジに見鍵を外すと使に理える。\n	dialog	83	1	TWN_RUIN
エッジは、キャラバンとの旧世との\n紀械から「ゾア」と横ばれる先の\n乗隊を長る。\n持きな先ならば、クレイメン紋遣に\n章する埋がかりがつかめるかも\nしれない。\n \n(伝説位・置発セリフ掘み調み落残)\n	dialog	189	1	TWN_RUIN
アゼルの話、聞いたか？	dialog	23	1	TWN_SEEK
うん…一体、どこに行ったんだろう？	dialog	35	1	TWN_SEEK
彼女に何かあったのか？	dialog	23	1	TWN_SEEK
すまん…俺の落ち度だ	dialog	21	1	TWN_SEEK
留守の間に、出て行っちまったそうだ	dialog	35	1	TWN_SEEK
監視をつけとくべきだったよ	dialog	27	1	TWN_SEEK
出て行った…って、どこに？	dialog	27	1	TWN_SEEK
ー<0F><09><04>中イスキースりゆよもョ。ォ	dialog	19	1	TWN_SEEK
よう！ 無事だったか、ドラゴン乗り！	dialog	37	1	TWN_SEEK
あんた、確かゾアの街で…	dialog	25	1	TWN_SEEK
そう、道具屋のヤレドさ	dialog	23	1	TWN_SEEK
ここじゃ「調整士」だけどな	dialog	27	1	TWN_SEEK
あんたもシーカーだったのか？	dialog	29	1	TWN_SEEK
まあ、そういうこった	dialog	21	1	TWN_SEEK
おまえさんを監視してたんだ	dialog	27	1	TWN_SEEK
ガッシュの命令でな	dialog	19	1	TWN_SEEK
黙ってて悪かったな	dialog	19	1	TWN_SEEK
ま、これからもよろしく頼むぜ	dialog	29	1	TWN_SEEK
ン乗り！	dialog	8	1	TWN_SEEK
ゾアの街の連中も、助けたかったんだがな	dialog	39	1	TWN_SEEK
パエット達は、空中船で脱出したらしいぜ	dialog	39	1	TWN_SEEK
いろいろ倉庫から出してきたぜ	dialog	29	1	TWN_SEEK
<1B>らしいぜ	dialog	10	1	TWN_SEEK
ひさびさに帰ってきたからな	dialog	27	1	TWN_SEEK
「探索兵」の補給は大変だよ	dialog	27	1	TWN_SEEK
ゾアで商売してたほうが楽だったぜ	dialog	33	1	TWN_SEEK
今度は薬作りか…休むひまもないぜ	dialog	33	1	TWN_SEEK
パエットの奴、まいってなかったか？	dialog	35	1	TWN_SEEK
戦いを見るの初めてだろ、あいつ	dialog	31	1	TWN_SEEK
俺は最後まで残るよ	dialog	19	1	TWN_SEEK
物資が調達できないと困るだろ？	dialog	31	1	TWN_SEEK
ちゃんと生きて戻って来いよ	dialog	27	1	TWN_SEEK
相棒にもそう言っといてくれ	dialog	27	1	TWN_SEEK
よう、無事だったようだな！	dialog	27	1	TWN_SEEK
俺は「調整士」ヤレドだ	dialog	23	1	TWN_SEEK
ゾアの街でおまえさんを監視してたんだが	dialog	39	1	TWN_SEEK
気づかなかったか？	dialog	19	1	TWN_SEEK
ま、これからはごひいきに頼むよ	dialog	31	1	TWN_SEEK
おまえさんの持って来た銃を改造したんだ	dialog	39	1	TWN_SEEK
よかったら、使ってくれよ	dialog	25	1	TWN_SEEK
俺、「探索兵」見習いのルーベンです	dialog	35	1	TWN_SEEK
よろしくお願いします！	dialog	23	1	TWN_SEEK
やっぱり、ドラゴンは味方だったんだ…	dialog	37	1	TWN_SEEK
俺、まだ訓練中なんです	dialog	23	1	TWN_SEEK
早く一人前になって、戦いに出たいなあ…	dialog	39	1	TWN_SEEK
訓練の方は、どんな調子だ？	dialog	27	1	TWN_SEEK
うん、もうすぐ終わるよ	dialog	23	1	TWN_SEEK
次は、みんなと一緒に行けるかもね	dialog	33	1	TWN_SEEK
ガッシュが言ってたのって、あの子の事？	dialog	39	1	TWN_SEEK
ュが言ってたのって、あの子の事？	dialog	32	1	TWN_SEEK
彼女は、なんとしても守らねばならん	dialog	35	1	TWN_SEEK
俺、初めて戦いに出る事になったんです！	dialog	39	1	TWN_SEEK
ドラゴンと一緒に戦えるなんて…	dialog	31	1	TWN_SEEK
光栄です！	dialog	11	1	TWN_SEEK
おまえの仕事は、第5地点の監視だ	dialog	33	1	TWN_SEEK
動きがあったら本隊に知らせろ	dialog	29	1	TWN_SEEK
じゃあ、みんなとは別行動なの？	dialog	31	1	TWN_SEEK
俺も前線で戦いたいなあ…	dialog	25	1	TWN_SEEK
見張りも大切な仕事だ	dialog	21	1	TWN_SEEK
気を抜くと命を落とすぞ	dialog	23	1	TWN_SEEK
あの子、逃げたんだって？	dialog	25	1	TWN_SEEK
それじゃ俺達、何のために戦ったんだよ？	dialog	39	1	TWN_SEEK
俺…戦えない体になったらどうしよう…	dialog	37	1	TWN_SEEK
ラーダの手術の腕は確かだ	dialog	25	1	TWN_SEEK
よけいな事は考えずに養生しろ	dialog	29	1	TWN_SEEK
早く起きないかな…	dialog	19	1	TWN_SEEK
(シーカーの女の子だ)	narration	23	1	TWN_SEEK
いい子だから、もう少しお待ち	dialog	29	1	TWN_SEEK
あの子は、大事なお話の最中なんだよ	dialog	35	1	TWN_SEEK
そんなに、あの子が気になるのかい？	dialog	35	1	TWN_SEEK
そうかい…	dialog	11	1	TWN_SEEK
「守人」の血のせいかねえ	dialog	25	1	TWN_SEEK
アゼル、心配してるよ	dialog	21	1	TWN_SEEK
まだ、戦い、終わんないの？	dialog	27	1	TWN_SEEK
そう…あなた、シェラっていうの	dialog	31	1	TWN_SEEK
お父さんがつけてくれたの	dialog	25	1	TWN_SEEK
天に帰る前に…	dialog	15	1	TWN_SEEK
アゼルは、誰に名前をもらったの？	dialog	33	1	TWN_SEEK
初めて名前を呼んでくれたのは	dialog	29	1	TWN_SEEK
クレイメンというひとよ	dialog	23	1	TWN_SEEK
でも、そのひとはもういないの…	dialog	31	1	TWN_SEEK
じゃあ、同じだね、あたしと	dialog	27	1	TWN_SEEK
そうね…ありがとう	dialog	19	1	TWN_SEEK
アゼルは、どこの国で生まれたの？	dialog	33	1	TWN_SEEK
覚えてないわ	dialog	13	1	TWN_SEEK
でも、生まれたのはずっと昔…	dialog	29	1	TWN_SEEK
昔？ どのくらい？	dialog	19	1	TWN_SEEK
)<1D><1A><01>(よく仕込まれたクーリアだな)	dialog	35	1	TWN_ZOAH
悪いな、商談中なんだ	dialog	21	1	TWN_ZOAH
話なら、あとでな	dialog	17	1	TWN_ZOAH
