kind	jp_off	us_off	jp	us
~2:1	0134D4	0137BE	【1】【2】【3】の【18】【20】【376】だ んだ、ほらよ	It's a pass to the Holy District.
~1:1	0134F1	0137E0	…まったく、わけがわかんねえぜ	...I don't understand.
~1:1	013510	0137F7	<0F>か？	Why would they give one to you?
~1:1	013516	013817	なんで、おまえみたいな【103】に…	Oh, I get it.
~1:1	013533	013825	あ、そうか！	Paet introduced you to Vaiman
~1:1	013540	013843	おまえ、パイマンさんに【370】【360】んだんだろ？	and you bribed him.
~1:1	013567	013857	バエットの【103】に【377】【378】してもらってよ	Good thinking.
1:1	013595	013873	なんだよ、それ…	What do you mean by that...
1:1	0135A6	01388F	だいいち、パイマンって【379】だ？	I don't even know
1:1	0135C3	0138A1	バエットの【380】り【355】いか？	who Vaiman is!
~1:1	0135E7	0138BD	なんだ、【380】らなかったのか？	What, you didn't know?
~1:1	013602	0138D4	あいつの【381】【382】だよ	He's Paet's father.
~1:2	013613	0138E8	【1】【2】【3】じゃ、【383】【237】の【384】ぐらいに【385】いんだぜ	He's second in command to the High Priest.
1:1	013648	013920	そんな【144】が、どうして…	Why would he...
~1:1	01366C	01393D	さあな…【215】は【386】まれただけだからよ	I don't know, I was just asking.
~1:2	01368D	01395E	あ、そうだ、【315】【327】もあったんだっけ	Oh, there's a message, too. Go to the Holy District, he's
~1:1	0136AE	013998	【155】があるから、【1】【2】【3】まで【285】いってよ	got something to tell you.
1:1	0136DE	0139C0	パイマンさんの【129】は、【101】【126】の【134】だってよ	Vaiman's house is behind the church.
~1:1	013710	0139F2	【366】【367】のハンターがあっさり【1】【2】【3】【41】りして	Some hunter is given a pass to the
~1:2	013737	013A15	ずっと【387】いてる【215】には、【60】もなしかよ…	Holy District, just like that. I've been working here forever, and
~1:1	01375C	013A58	なんか、【387】くのがパカらしくなってきたぜ	I get nothing... I'm gonna quit.
~1:1	013784	013A79	(【388】った【311】がぷらついている…)	(A fat guy is walking around.)
~1:1	0137A3	013A98	(【19】【42】のアプネルだ…)	(It's Abner, the gatekeeper)
~1:1	0137BA	013AB5	(【308】【128】は【368】【218】がないらしい)	(He only works at night.)
1:1	0137E2	013ADC	こないだ【389】りた【370】だけどよ…	It's about the money I borrowed.
1:1	0137FD	013AFD	【25】は、【147】【219】【163】せそうにねえんだ	I won't be able to pay you back
1:1	01381A	013B1D	)	for a while.
1:1	013829	013B37	そんな！ 【390】【391】が【255】うよ！	What are you trying to pull?
~1:1	01384F	013B61	ま、【15】ってくれよ	Hey, wait a second.
~2:1	013860	013B75	【60】も、ふみ【392】そうってんじゃねえんだ <1B>ぜ	I don't have the money right now.
~1:1	013888	013B97	かわりに【215】の【167】ち物、【60】でもやるよ	Instead, you can go to my house
~1:1	0138A9	013BB7	【129】から【393】【83】に【167】ってっていいからさ、な？	and take whatever you want.
1:1	0138DD	013BE0	わかったよ…	All right...
1:1	0138EA	013BED	【129】って、どこにあるんだ？	Where's your house?
~1:1	013910	013C0E	ヤレドの【256】の【23】だよ	It's next to Jared's shop.
~2:1	013923	013C29	【146】【154】と【174】【268】に【143】んでるんだ <0D>からさ、な？	I'm living with my buddy.
~1:1	01394A	013C43	【14】になったら【285】てくれよ	Stop by at night.
~1:1	013961	013C55	(【388】った【311】がぷらついている…)	(A fat guy is walking around.)
~1:1	013980	013C74	(【19】【42】のアプネルだ…)	(It's Abner, the gatekeeper)
~1:1	013997	013C91	(【308】【128】は【368】【218】がないらしい)	(He only works at night.)
1:1	0139BF	013CB8	こないだ【389】りた【370】だけどよ…	It's about the money I borrowed.
1:1	0139DA	013CD9	【25】は、【147】【219】【163】せそうにねえんだ	I won't be able to pay you back
1:1	0139F7	013CF9	)	for a while.
1:1	013A06	013D13	そんな！ 【390】【391】が【255】うよ！	What are you trying to pull?
~1:1	013A2C	013D3D	ま、【15】ってくれよ	Hey, wait a second.
~2:1	013A3D	013D51	【60】も、ふみ【392】そうってんじゃねえんだ な？	I don't have the money right now.
~1:1	013A64	013D73	かわりに【215】の【167】ち物、【60】でもやるよ	Instead, you can go to my house
~1:1	013A85	013D93	【129】から【393】【83】に【167】ってっていいからさ、な？	and take whatever you want.
1:1	013AB9	013DBC	わかったよ…	All right...
1:1	013AC6	013DC9	【129】って、どこにあるんだ？	Where's your house?
~1:1	013AEC	013DEA	ヤレドの【256】の【23】だよ	It's next to Jared's shop.
~1:1	013AFF	013E05	【146】【154】と【174】【268】に【143】んでるんだ	I'm living with my buddy.
~1:1	013B18	013E1F	<0D>からさ、な？	Stop by at night.
~1:1	013B26	013E31	【14】になったら【285】てくれよ	(A fat guy is walking around.)
~1:1	013B3D	013E50	(【388】った【311】がぷらついている…)	(It's Abner, the gatekeeper)
~1:1	013B5C	013E6D	(【19】【42】のアプネルだ…)	(He only works at night.)
~2:1	013B73	013E87	(【308】【128】は【368】【218】がないらしい) (【70】を【156】いてみよう)	(I should ask for directions.)
~1:1	013BA3	013EA6	(【19】【42】が【84】【374】りをしている…)	(A gatekeeper is standing guard.)
~1:1	013BC0	013EC8	(【19】【42】のアプネルだ…)	(It's Abner, the gatekeeper)
1:1	013BE4	013EF2	おまえも、ここの【394】【156】いて【285】たんだろ？	You came here because you heard
1:1	013C09	013F12	よそに【395】ぺりゃ、【396】【397】みたいな【44】だからな	that this town was paradise, right?
~1:1	013C3D	013F43	【19】【42】ってのは、【398】【399】な【368】【218】だぜ	Gatekeeping is boring.
~2:1	013C5A	013F5A	むだからな 【400】【96】をこらえるのにもひと【401】【402】さ	It's tough just to stay awake.
1:1	013C90	013F86	ずいぷん【140】ち着いてるじゃねえか	The Imperial force is nearby,
1:1	013CAF	013FA4	このあたりに帝国が【285】てるってのによ	and you look so calm.
1:1	013CDF	013FC7	帝国【354】の【403】【37】の【394】、【156】いたか？	Did you hear that the Empire has
1:1	013CFC	013FE8	すげえ【56】【404】か【60】かがあって	some new weapon that can destroy
1:1	013D15	014009	いつでも、この【0】にぷっ【5】せるって【155】だぜ	an entire town? They're threatening
1:1	013D3D	01402D	それをネタに、【405】【406】【126】を【407】してるんだとよ	the Council with war.
1:1	013D71	014050	帝国の【403】【37】は【361】【408】だとよ	I hear that the Imperial Base
1:1	013D88	01406E	ドラゴンが【97】き【409】っちまったらしいぜ	has been totally destroyed
1:1	013DAB	014089	<1F>よ	by a dragon.
1:1	013DBC	0140A3	おまえもここに【143】みたいんじゃねえのか？	Don't you want to live here too?
1:1	013DE3	0140C4	【393】【83】に【410】着いてもいいんだぜ	You can stay here if you want.
1:1	013DFE	0140E3	<!BA>ねえのか？	The Liberal District is populated
1:1	013E0A	014105	【4】【5】【3】は、そうやってできたんだからな	by travelers.
1:1	013E2F	014113	ジューパの【256】への【70】	Passage to Juba's
1:1	013E42	014125	バエットの【410】【411】【44】	Paet's
1:1	013E53	01412C	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	013E64	014144	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	013E77	01415E	【101】【126】への【70】	Passage to the Church
1:1	013E82	014174	【18】【39】への【70】	To the Passage
1:1	013E8D	014183	【155】をやめる	Quit
1:1	013E98	014188	ジューパの【256】への【70】	Passage to Juba's
1:1	013EAB	01419A	バエットの【410】【411】【44】	Paet's
1:1	013EBC	0141A1	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	013ECD	0141B9	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	013EE0	0141D3	【101】【126】への【70】	Passage to the Church
1:1	013EEB	0141E9	【155】をやめる	Quit
1:1	013EF6	0141EE	ジューパの【256】への【70】	Passage to Juba's
1:1	013F09	014200	バエットの【410】【411】【44】	Paet's
1:1	013F1A	014207	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	013F2B	01421F	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	013F3E	014239	【18】【39】への【70】	To the Passage
1:1	013F49	014248	【155】をやめる	Quit
1:1	013F54	01424D	ジューパの【256】への【70】	Passage to Juba's
1:1	013F67	01425F	バエットの【410】【411】【44】	Paet's
1:1	013F78	014266	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	013F89	01427E	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	013F9C	014298	【155】をやめる	Quit
1:1	013FA7	01429D	ジューパの【256】への【70】	Passage to Juba's
1:1	013FBA	0142AF	バエットの【410】【411】【44】	Paet's
1:1	013FCB	0142B6	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	013FDC	0142CE	【101】【126】への【70】	Passage to the Church
1:1	013FE7	0142E4	【18】【39】への【70】	To the Passage
1:1	013FF2	0142F3	【155】をやめる	Quit
1:1	013FFD	0142F8	ジューパの【256】への【70】	Passage to Juba's
1:1	014010	01430A	バエットの【410】【411】【44】	Paet's
1:1	014021	014311	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014032	014329	【101】【126】への【70】	Passage to the Church
1:1	01403D	01433F	【155】をやめる	Quit
1:1	014048	014344	ジューパの【256】への【70】	Passage to Juba's
1:1	01405B	014356	バエットの【410】【411】【44】	Paet's
1:1	01406C	01435D	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	01407D	014375	【18】【39】への【70】	To the Passage
1:1	014088	014384	【155】をやめる	Quit
1:1	014093	014389	ジューパの【256】への【70】	Passage to Juba's
1:1	0140A6	01439B	バエットの【410】【411】【44】	Paet's
1:1	0140B7	0143A2	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	0140C8	0143BA	【155】をやめる	Quit
1:1	0140D3	0143BF	ジューパの【256】への【70】	Passage to Juba's
1:1	0140E6	0143D1	バエットの【410】【411】【44】	Paet's
1:1	0140F7	0143D8	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	01410A	0143F2	【101】【126】への【70】	Passage to the Church
1:1	014115	014408	【18】【39】への【70】	To the Passage
1:1	014120	014417	【155】をやめる	Quit
1:1	01412B	01441C	ジューパの【256】への【70】	Passage to Juba's
1:1	01413E	01442E	バエットの【410】【411】【44】	Paet's
1:1	01414F	014435	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014162	01444F	【101】【126】への【70】	Passage to the Church
1:1	01416D	014465	【155】をやめる	Quit
1:1	014178	01446A	ジューパの【256】への【70】	Passage to Juba's
1:1	01418B	01447C	バエットの【410】【411】【44】	Paet's
1:1	01419C	014483	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	0141AF	01449D	【18】【39】への【70】	To the Passage
1:1	0141BA	0144AC	【155】をやめる	Quit
1:1	0141C5	0144B1	ジューパの【256】への【70】	Passage to Juba's
1:1	0141D8	0144C3	バエットの【410】【411】【44】	Paet's
1:1	0141E9	0144CA	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	0141FC	0144E4	【155】をやめる	Quit
1:1	014207	0144E9	ジューパの【256】への【70】	Passage to Juba's
1:1	01421A	0144FB	バエットの【410】【411】【44】	Paet's
1:1	01422B	014502	【101】【126】への【70】	Passage to the Church
1:1	014236	014518	【18】【39】への【70】	To the Passage
1:1	014241	014527	【155】をやめる	Quit
1:1	01424C	01452C	ジューパの【256】への【70】	Passage to Juba's
1:1	01425F	01453E	バエットの【410】【411】【44】	Paet's
1:1	014270	014545	【101】【126】への【70】	Passage to the Church
1:1	01427B	01455B	【155】をやめる	Quit
1:1	014286	014560	ジューパの【256】への【70】	Passage to Juba's
1:1	014299	014572	バエットの【410】【411】【44】	Paet's
1:1	0142AA	014579	【18】【39】への【70】	To the Passage
1:1	0142B5	014588	【155】をやめる	Quit
1:1	0142C0	01458D	ジューパの【256】への【70】	Passage to Juba's
1:1	0142D3	01459F	バエットの【410】【411】【44】	Paet's
1:1	0142E4	0145A6	【155】をやめる	Quit
1:1	0142EF	0145AB	ジューパの【256】への【70】	Passage to Juba's
1:1	014302	0145BD	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014313	0145D5	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014326	0145EF	【101】【126】への【70】	Passage to the Church
1:1	014331	014605	【18】【39】への【70】	To the Passage
1:1	01433C	014614	【155】をやめる	Quit
1:1	014347	014619	ジューパの【256】への【70】	Passage to Juba's
1:1	01435A	01462B	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	01436B	014643	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	01437E	01465D	【101】【126】への【70】	Passage to the Church
1:1	014389	014673	【155】をやめる	Quit
1:1	014394	014678	ジューパの【256】への【70】	Passage to Juba's
1:1	0143A7	01468A	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	0143B8	0146A2	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	0143CB	0146BC	【18】【39】への【70】	To the Passage
1:1	0143D6	0146CB	【155】をやめる	Quit
1:1	0143E1	0146D0	ジューパの【256】への【70】	Passage to Juba's
1:1	0143F4	0146E2	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014405	0146FA	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014418	014714	【155】をやめる	Quit
1:1	014423	014719	ジューパの【256】への【70】	Passage to Juba's
1:1	014436	01472B	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014447	014743	【101】【126】への【70】	Passage to the Church
1:1	014452	014759	【18】【39】への【70】	To the Passage
1:1	01445D	014768	【155】をやめる	Quit
1:1	014468	01476D	ジューパの【256】への【70】	Passage to Juba's
1:1	01447B	01477F	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	01448C	014797	【101】【126】への【70】	Passage to the Church
1:1	014497	0147AD	【155】をやめる	Quit
1:1	0144A2	0147B2	ジューパの【256】への【70】	Passage to Juba's
1:1	0144B5	0147C4	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	0144C6	0147DC	【18】【39】への【70】	To the Passage
1:1	0144D1	0147EB	【155】をやめる	Quit
1:1	0144DC	0147F0	ジューパの【256】への【70】	Passage to Juba's
1:1	0144EF	014802	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014500	01481A	【155】をやめる	Quit
1:1	01450B	01481F	ジューパの【256】への【70】	Passage to Juba's
1:1	01451E	014831	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014531	01484B	【101】【126】への【70】	Passage to the Church
1:1	01453C	014861	【18】【39】への【70】	To the Passage
1:1	014547	014870	【155】をやめる	Quit
1:1	014552	014875	ジューパの【256】への【70】	Passage to Juba's
1:1	014565	014887	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014578	0148A1	【101】【126】への【70】	Passage to the Church
1:1	014583	0148B7	【155】をやめる	Quit
1:1	01458E	0148BC	ジューパの【256】への【70】	Passage to Juba's
1:1	0145A1	0148CE	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	0145B4	0148E8	【18】【39】への【70】	To the Passage
1:1	0145BF	0148F7	【155】をやめる	Quit
1:1	0145CA	0148FC	ジューパの【256】への【70】	Passage to Juba's
1:1	0145DD	01490E	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	0145F0	014928	【155】をやめる	Quit
1:1	0145FB	01492D	ジューパの【256】への【70】	Passage to Juba's
1:1	01460E	01493F	【101】【126】への【70】	Passage to the Church
1:1	014619	014955	【18】【39】への【70】	To the Passage
1:1	014624	014964	【155】をやめる	Quit
1:1	01462F	014969	ジューパの【256】への【70】	Passage to Juba's
1:1	014642	01497B	【101】【126】への【70】	Passage to the Church
1:1	01464D	014991	【155】をやめる	Quit
1:1	014658	014996	ジューパの【256】への【70】	Passage to Juba's
1:1	01466B	0149A8	【18】【39】への【70】	To the Passage
1:1	014676	0149B7	【155】をやめる	Quit
1:1	014681	0149BC	ジューパの【256】への【70】	Passage to Juba's
1:1	014694	0149CE	【155】をやめる	Quit
1:1	01469F	0149D3	ジューパの【256】への【70】	Passage to Juba's
1:1	0146B2	0149E5	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	0146C3	0149FD	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	0146D6	014A17	【101】【126】への【70】	Passage to the Church
1:1	0146E1	014A2D	【18】【39】への【70】	To the Passage
1:1	0146EC	014A3C	【155】をやめる	Quit
1:1	0146F7	014A41	ジューパの【256】への【70】	Passage to Juba's
1:1	01470A	014A53	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	01471B	014A6B	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	01472E	014A85	【101】【126】への【70】	Passage to the Church
1:1	014739	014A9B	【155】をやめる	Quit
1:1	014744	014AA0	ジューパの【256】への【70】	Passage to Juba's
1:1	014757	014AB2	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014768	014ACA	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	01477B	014AE4	【18】【39】への【70】	To the Passage
1:1	014786	014AF3	【155】をやめる	Quit
1:1	014791	014AF8	ジューパの【256】への【70】	Passage to Juba's
1:1	0147A4	014B0A	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	0147B5	014B22	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	0147C8	014B3C	【155】をやめる	Quit
1:1	0147D3	014B41	ジューパの【256】への【70】	Passage to Juba's
1:1	0147E6	014B53	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	0147F7	014B6B	【101】【126】への【70】	Passage to the Church
1:1	014802	014B81	【18】【39】への【70】	To the Passage
1:1	01480D	014B90	【155】をやめる	Quit
1:1	014818	014B95	ジューパの【256】への【70】	Passage to Juba's
1:1	01482B	014BA7	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	01483C	014BBF	【101】【126】への【70】	Passage to the Church
1:1	014847	014BD5	【155】をやめる	Quit
1:1	014852	014BDA	ジューパの【256】への【70】	Passage to Juba's
1:1	014865	014BEC	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014876	014C04	【18】【39】への【70】	To the Passage
1:1	014881	014C13	【155】をやめる	Quit
1:1	01488C	014C18	ジューパの【256】への【70】	Passage to Juba's
1:1	01489F	014C2A	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	0148B0	014C42	【155】をやめる	Quit
1:1	0148BB	014C47	ジューパの【256】への【70】	Passage to Juba's
1:1	0148CE	014C59	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	0148E1	014C73	【101】【126】への【70】	Passage to the Church
1:1	0148EC	014C89	【18】【39】への【70】	To the Passage
1:1	0148F7	014C98	【155】をやめる	Quit
1:1	014902	014C9D	ジューパの【256】への【70】	Passage to Juba's
1:1	014915	014CAF	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014928	014CC9	【101】【126】への【70】	Passage to the Church
1:1	014933	014CDF	【155】をやめる	Quit
1:1	01493E	014CE4	ジューパの【256】への【70】	Passage to Juba's
1:1	014951	014CF6	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014964	014D10	【18】【39】への【70】	To the Passage
1:1	01496F	014D1F	【155】をやめる	Quit
1:1	01497A	014D24	ジューパの【256】への【70】	Passage to Juba's
1:1	01498D	014D36	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	0149A0	014D50	【155】をやめる	Quit
1:1	0149AB	014D55	ジューパの【256】への【70】	Passage to Juba's
1:1	0149BE	014D67	【101】【126】への【70】	Passage to the Church
1:1	0149C9	014D7D	【18】【39】への【70】	To the Passage
1:1	0149D4	014D8C	【155】をやめる	Quit
1:1	0149DF	014D91	ジューパの【256】への【70】	Passage to Juba's
1:1	0149F2	014DA3	【101】【126】への【70】	Passage to the Church
1:1	0149FD	014DB9	【155】をやめる	Quit
1:1	014A08	014DBE	ジューパの【256】への【70】	Passage to Juba's
1:1	014A1B	014DD0	【18】【39】への【70】	To the Passage
1:1	014A26	014DDF	【155】をやめる	Quit
1:1	014A31	014DE4	ジューパの【256】への【70】	Passage to Juba's
1:1	014A44	014DF6	【155】をやめる	Quit
1:1	014A4F	014DFB	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014A60	014E13	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014A73	014E2D	【101】【126】への【70】	Passage to the Church
1:1	014A7E	014E43	【18】【39】への【70】	To the Passage
1:1	014A89	014E52	【155】をやめる	Quit
1:1	014A94	014E57	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014AA5	014E6F	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014AB8	014E89	【101】【126】への【70】	Passage to the Church
1:1	014AC3	014E9F	【155】をやめる	Quit
1:1	014ACE	014EA4	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014ADF	014EBC	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014AF2	014ED6	【18】【39】への【70】	To the Passage
1:1	014AFD	014EE5	【155】をやめる	Quit
1:1	014B08	014EEA	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014B19	014F02	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014B2C	014F1C	【155】をやめる	Quit
1:1	014B37	014F21	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014B48	014F39	【101】【126】への【70】	Passage to the Church
1:1	014B53	014F4F	【18】【39】への【70】	To the Passage
1:1	014B5E	014F5E	【155】をやめる	Quit
1:1	014B69	014F63	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014B7A	014F7B	【101】【126】への【70】	Passage to the Church
1:1	014B85	014F91	【155】をやめる	Quit
1:1	014B90	014F96	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014BA1	014FAE	【18】【39】への【70】	To the Passage
1:1	014BAC	014FBD	【155】をやめる	Quit
1:1	014BB7	014FC2	機【81】【82】き【411】への【70】	Passage to Storage Area
1:1	014BC8	014FDA	【155】をやめる	Quit
1:1	014BD3	014FDF	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014BE6	014FF9	【101】【126】への【70】	Passage to the Church
1:1	014BF1	01500F	【18】【39】への【70】	To the Passage
1:1	014BFC	01501E	【155】をやめる	Quit
1:1	014C07	015023	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014C1A	01503D	【101】【126】への【70】	Passage to the Church
1:1	014C25	015053	【155】をやめる	Quit
1:1	014C30	015058	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014C43	015072	【18】【39】への【70】	To the Passage
1:1	014C4E	015081	【155】をやめる	Quit
1:1	014C59	015086	パイマンの【129】への【70】	Passage to Vaiman's house
1:1	014C6C	0150A0	【155】をやめる	Quit
1:1	014C77	0150A5	【101】【126】への【70】	Passage to the Church
1:1	014C82	0150BB	【18】【39】への【70】	To the Passage
1:1	014C8D	0150CA	【155】をやめる	Quit
1:1	014C98	0150CF	【101】【126】への【70】	Passage to the Church
1:1	014CA3	0150E5	【155】をやめる	Quit
1:1	014CAE	0150EA	【18】【39】への【70】	To the Passage
1:1	014CB9	0150F9	【155】をやめる	Quit
~1:1	014CD1	01510B	ああ、【174】【412】やろうってんだな	If you want some drinks, go to
~2:1	014CEC	01512A	【0】の【41】【413】の【414】に、【334】【335】があるだろ そいつを【415】えりゃ【416】の【49】だ	the stairs next to the entrance
~1:1	014D24	01514A	るだろ	of the town.
~3:1	014D2A	015157	【417】い【21】が【416】【418】だぜ <!A0>の【49】だ るだろ	Go up and it's the blue door.
1:1	014D56	015182	バエットなら、【0】の【17】に【20】っちまったぜ	Paet is working on something.
1:1	014D7B	0151A0	？	He said he's got some business
1:1	014D7D	0151BF	【419】【242】に【87】【218】だとか【327】ってよ	to attend to.
1:1	014D96	0151CD	…【60】【420】えてんだ、あいつ？	What's he up to?
~1:1	014DBC	0151EB	【16】になるまで【13】てこねえよ、あいつは	He won't be back until morning.
~1:2	014DDF	01520B	【14】の【128】は、この【19】の【108】こう【310】さ	He's got business to tend to  In the Holy District.
~1:1	014E09	01524C	【18】【39】を【181】けると、【421】【139】に【123】があるからよ	Go through the passage, and you'll
~1:1	014E2E	01526F	そいつにそって、【422】へ【423】んでみな	see a wall. Go right along the wall.
~2:1	014E4D	015294	もっとも、【296】は【379】もいねえと【325】うぜ らよ	I don't think anyone is there now.
1:1	014E7F	0152C4	【215】もよく【380】らねえけど…	I'm not quite sure, but
1:1	014E96	0152DC	【101】【126】の【41】【413】の【424】に、【18】【39】があるんだとよ	I hear there's a passage next to the
1:1	014EBB	015301	そいつを【181】けて、すぐ【422】だって【156】いたぜ	entrance of the church.
1:1	014EE0	015319	？	Go through it and turn right.
~1:2	014EEF	015344	この【19】を【181】けると、【421】【139】に【93】【94】があって…	Go through this gate, and there's a storage area ahead.
~1:1	014F16	01537C	その【425】【310】が、【101】【126】なんだとよ	To the left is the church.
~1:2	014F31	015397	【417】い【58】が、【41】【413】の【426】【424】に【51】ってるそうだぜ	There are blue pillars on each side of the entrance.
1:1	014F66	0153D9	【18】【39】なら、ジューパの【256】の【23】にあるぜ	The passage is next to Juba's.
1:1	0184C6	018D06	【84】かけねえ【367】だな…	Never seen you before...
1:1	0184D9	018D1F	なんだ、ハンターかよ	Are you a hunter?
1:1	0184FB	018D3E	…そう【327】うあんたは、【60】なんだ？	What are you supposed to be?
1:1	018527	018D68	へっ！ でけえ【413】【427】くじゃねえか	Watch your mouth kid! Do you
1:1	018546	018D85	【428】【285】の【1】【2】【3】【429】に【108】かってよ	know who I am? I am Aldo,
1:1	018561	018D9F	【215】の【430】はアルドーだ、覚えときな	future citizen of the Holy District.
1:1	01858D	018DD1	【83】【315】いならお【431】りだぜ	I don't need your help, boy.
1:1	0185A2	018DEE	<!DA>えときな	I don't plan on sharing my
1:1	0185AC	018E09	てめえと【432】【370】を【219】ける【96】はねえ	pay with you.
~1:2	0185D6	018E24	【1】【2】【3】【429】になるには、【38】【360】みがいるのさ	If you want to become a citizen of the Holy District, you need to
~1:2	0185FB	018E66	てめえに【327】っても、わかんねえだろうがな	pay your dues. Well, you wouldn't understand.
~1:1	01862F	018EA1	この【111】物は、みんな【1】【2】【3】の物さ	These crops all belong to the
~1:1	01864E	018EBF	【215】【242】は、わざわざ【370】で【161】わなきゃならねえ	Holy District and we have to
~1:2	018675	018EDC	【1】【2】【3】に【433】われて、はした【370】【434】いでも…	buy them with money. You work for the Holy District but... you
~1:1	01869A	018F1B	また、【245】【40】に【435】い【133】げられちまうのさ	end up giving it all back to them.
~1:1	0186BD	018F3E	(【436】い【311】だ…ここの【143】【144】だろうか？)	(A young man... does he live here?)
~1:1	0186E0	018F62	(あいつは…アルドーという【430】だったな)	(His name is Aldo.)
1:1	018714	018F83	さっさとこの【0】から【13】て【20】きな…	You'd better leave this town, if
1:1	018733	018FA4	【215】みたいになりたくなけりゃあな	you don't want to become like me.
1:1	01875F	018FD3	【1】【2】【3】の【103】がいると、【192】がまずくなるぜ	Drinking ain't as good when those
1:1	018784	018FF5	)	Holy District bastards are around.
1:1	018786	019018	てめえもそう【325】うだろ？	What are you looking at?
1:1	01879D	019031	(【436】い【311】だ…かなり【437】ってるな)	(He stinks of alcohol.)
1:1	0187BC	019049	(あいつは…アルドーという【430】だったな)	(His name is Aldo.)
1:1	0187F0	01906A	うるせえな、あっちに【20】けよ	Get lost, punk.
~1:2	018818	019087	…てめえ、ケンカ売ってんのか？	You're starting to tick me off and that's the last thing you want.
1:1	018844	0190D7	【156】いたか、【438】い【78】の【155】！	Did you hear about the black ship?
1:1	018868	019107	ウルの【439】に【440】んでったってんだろ	Yeah, it flew towards Uru, right?
1:1	018887	019129	【215】【242】にゃ【172】【441】ねえよ	Well, whatever those guys wanna
1:1	01889A	019149	【103】らは【442】【80】が【416】【147】てなんだからな	do is O.K. with me.
~1:2	0188C6	01916A	【251】【202】、ガラクタ【342】めの【368】【218】がねえな	There hasn't been much work collecting the ancient relics.
~1:1	0188F4	0191B2	バエットも【443】れちまったんじゃねえか？	I guess Paet got tired of us.
~1:2	018919	0191D0	【215】【242】が、ろくな物【160】ってこねえからさ	Do you think it's because we never found anything good?
~1:1	018949	019215	なら、どうすりゃいいんだよ？	Well, what are we gonna do?
