idx	kind	limit	over	jp	ko
68	ui	17	4	スキアド・オプス・ランディと\n「編み人」ピネハスによる記録。\n\n以下に記すのは、ウル近辺で発掘した\n情報系構造体に収められていた記録の\n解読である。	스키아드 옵스 란디와\n「엮는 자」피네하스에 의한 기록.\n\n아래에 적는 것은 우르 근방에서 발굴한\n정보계 구조체에 수록되어 있던 기록을\n해독한 것이다.
69	ui	9	4	エッジへの手紙・2	엣지에게 보내는 편지・2
70	ui	9	4	エッジへの手紙・1	엣지에게 보내는 편지・1
71	ui	17	4	ウル地下遣跡中ボス戦(ミヤビレイ)	울 지하 유적 중간 보스전(미야비레이)
72	ui	17	4	アカデミーでは、優秀な人材による\n研究が日夜行われ、旧世紀の技術に\n関する謎は着実に解明されつつある。\nエンジンをはじめとする機械類を、\n帝国自らの手で生産するという目標が\n達成される日は、もはや目前に迫って\nいるのである。	아카데미에서는 우수한 인재들의\n연구가 밤낮으로 이루어져,구세기 기술에\n관한 수수께끼가 착실히 풀려가고 있다.\n엔진을 비롯한 기계류를\n제국 스스로의 손으로 생산한다는 목표가\n달성되는 날은 이미 눈앞에\n다가와 있다.
73	ui	17	4	ゆえに、辺境の民の無意味な反抗に\nあっても、躊躇してはならない。\n反抗は単に無知ゆえであり、帝国には\n彼らを保護する義務があるからだ。\n我が軍の戦いは侵略にあらず。目先の\n情に惑わされず、常に大義をもって\n行動することを望むものである。	그러므로,변경민의 무의미한 반항에도\n망설여서는 안 된다.\n반항은 그저 무지 탓이며,제국에는\n그들을 보호할 의무가 있기 때문이다.\n우리 군의 싸움은 침략이 아니다.눈앞의\n정에 휘둘리지 않고,항상 대의를 가지고\n행동하기를 바라는 바다.
74	ui	17	4	まるで、神々の戦のようだった。\nでも、戦っていたのは普通の兵隊だ。\n神の乗り物に乗っていても、儀と同じ\n人間だったはずだ。\nなのに、身を守るためとはいえ、儀は\n彼らを撃ってしまった。\n何のためらいもなしに。	마치,신들의 전쟁 같았다.\n하지만 싸우던 건 평범한 병사들이었다.\n신의 탈것에 타고 있어도,기와 같은\n인간이었을 터다.\n그런데도,몸을 지키기 위해서라지만,기는\n그들을 쏴 버렸다.\n아무런 망설임도 없이.
75	ui	17	4	だが、現在我が軍の使用する兵器は\n全て発掘物の修復・改造品であり、\n絶対数は常に不足状態にある。ゆえに\nその取り扱いには細心の注意を払い、\n動力の消耗を最小限に抑えるように\n心がけねばならない。	하지만,현재 우리 군이 쓰는 병기는\n모두 발굴물의 수복·개조품이며,\n절대수는 항상 부족한 상태이다.그러므로\n그 취급에는 세심한 주의를 기울여,\n동력 소모를 최소한으로 억제하도록\n유념해야 한다.
76	ui	17	4	その日の日没までに、水を浴びて身を\n清め、ワント麻で織られた新しい布で\n作られた服をまとわねばならない。\nまた、祈りの夜の間は、いかなる\n燈火も用いてはならない。	그날 일몰까지,물을 뒤집어써 몸을\n정화하고,완트 삼으로 짠 새로운 천으로\n지은 옷을 걸쳐야 한다.\n또한,기도의 밤 동안은,어떠한\n등불도 써서는 안 된다.
77	ui	17	4	その後、改めて追跡調査が行われたが\n予測飛行コース上にシェルクーフの\n姿はなく、ただ大規模な戦闘跡を\n無数に確認するのみであった。\nシェルクーフは、この戦闘によって\n破壊されたと思われるが、それを可能\nならしめた戦力の実体は不明である。	그 후,다시 추적 조사가 이루어졌지만\n예측 비행 코스상에 셸쿠프의\n모습은 없었고,그저 대규모 전투 흔적을\n무수히 확인할 뿐이었다.\n셸쿠프는,이 전투에 의해\n파괴되었다고 여겨지나,그것을 가능\n하게 한 전력의 실체는 불명이다.
78	ui	17	4	しかし、別働隊の報告を待たずして、\nシェルクーフとともに確認されていた\n大型戦艦が出現。捕獲部隊と交戦\n状態に入った。\n戦艦はわずか1隻であったが、その\n戦力は圧倒的であり、数分間の戦闘で\n部隊の大半が撃破された。	하지만,별동대의 보고를 기다리지 않고,\n셸쿠프와 함께 확인되었던\n대형 전함이 출현.포획 부대와 교전\n상태에 들어갔다.\n전함은 겨우 1척이었지만,그\n전력은 압도적이었으며,수 분간의 전투로\n부대의 대부분이 격파되었다.
79	ui	17	4	これをうまく利用すれば、我々の里を\n攻性生物から守る手段として使える\nかもしれない。今後も、この種の\n構造体の研究は、積極的に続けていく\n必要があるだろう。	이것을 잘 이용하면,우리 마을을\n공성생물로부터 지키는 수단으로 쓸 수\n있을지도 모른다.앞으로도,이러한 종류의\n구조체 연구는,적극적으로 계속해 나갈\n필요가 있을 것이다.
80	ui	12	4	この形態は、両腕の機能が\n発達していて、弱点の頭を\nかばうような動きを見せて\nいた。攻撃も強力になって\nいたようだ。	이 형태는,양팔의 기능이\n발달해 있어,약점인 머리를\n감싸는 듯한 움직임을 보였다.\n공격도 강력해진\n듯하다.
81	ui	17	4	このとき、神の知恵は、\nことごとく争いに用いられた。\n神の火は、地を焼きつくし、\n神の道具は、命あるものを打ち殺し、\n攻性生物は、人を喰う軍勢となった。	이때,신의 지혜는,\n모조리 다툼에 쓰였다.\n신의 불은,땅을 다 태우고,\n신의 도구는,살아있는 것을 쳐 죽이고,\n공성생물은,사람을 먹는 군세가 되었다.
82	ui	17	4	おそらく我が友は、君を塔に導こうと\nしていることだろう。\nそれは、塔の死滅という彼の目的に、\n我々には知り得ない理由で、乗り手が\n深く関わっているからだ。	아마도 나의 벗은,그대를 탑으로 이끌려\n하고 있을 것이다.\n그것은,탑의 소멸이라는 그의 목적에,\n우리로서는 알 수 없는 이유로,라이더가\n깊이 관여하고 있기 때문이다.
83	ui	16	4	いつの日か、ラギは力を取り戻して\n大空に帰っていくだろう。そして、\nその背中には、たぶん儀ではない\n誰かが乗っているだろう。\nでも、儀はそれを悲しまない。\n託されたものを失わない限り、彼は\n儀とともにあるのだから。	언젠가,라기는 힘을 되찾아\n창공으로 돌아갈 것이다.그리고,\n그 등에는,아마도 기가 아닌\n누군가가 타고 있을 것이다.\n하지만,기는 그것을 슬퍼하지 않는다.\n맡겨진 것을 잃지 않는 한,그는\n기와 함께 있을 테니까.
84	ui	16	4	「編み人」ノアデアによる記録。\n\n遣跡内にある機械のほとんどは\nエンジンなどの動力系構造体だが、\nごくまれに、映像や音声を記録する\nための、情報系構造体が発見される\nことがある。	「엮는 자」노아데아의 기록。\n\n유적 내에 있는 기계 대부분은\n엔진 등의 동력계 구조체이지만,\n아주 드물게,영상이나 음성을 기록하기\n위한 정보계 구조체가 발견되는\n경우가 있다。
85	ui	16	4	3)中間層から外周部8階へ→\n  8階から昇降機で6階へ→\n  6階から下部格納層へ\n\n4)下部格納層から外周部5階へ→\n  5階から昇降機で4階へ→\n  4階から最下層へ	3)중간층에서 외주부 8층으로→\n  8층에서 승강기로 6층으로→\n  6층에서 하부 격납층으로\n\n4)하부 격납층에서 외주부 5층으로→\n  5층에서 승강기로 4층으로→\n  4층에서 최하층으로
86	ui	16	4	2度も彼女を助けてくれた事、\n礼を言う。\n \nだが、正直、彼女は\n君には荷の重過ぎる存在のはずだ。\n実際に、そのままでは、\n彼女が意識を取り戻す事もない。	두 번이나 그녀를 구해준 것,\n감사한다.\n \n하지만,솔직히 그녀는\n너에게는 너무 버거운 존재일 것이다.\n실제로,이대로라면\n그녀가 의식을 되찾는 일도 없다.
87	ui	17	4	1)最上層から外周部13階へ→\n  13階から昇降機で12階へ→\n  12階から上部格納層へ\n\n2)上部格納層から外周部11階へ→\n  11階から昇降機で9階へ→\n  9階から中間層へ	1)최상층에서 외주부 13층으로→\n  13층에서 승강기로 12층으로→\n  12층에서 상부 격납층으로\n\n2)상부 격납층에서 외주부 11층으로→\n  11층에서 승강기로 9층으로→\n  9층에서 중간층으로
88	slot	14	4	全ての塔は、一瞬で死に絶える	모든 탑은,한순간에 죽어 사라진다
89	slot	15	4	二度とその巣は使わねえんだとさ	두 번 다시 그 둥지는 안 쓴다더군
90	slot	10	4	ズースーの倒し方は？	즈스를 쓰러뜨리는 방법은?
91	slot	7	4	「護り火」の話	「수호의 불씨」이야기
92	ui	10	3	隊長が持っていた帳面	대장이 가지고 있던 수첩
93	ui	16	3	銃パーツ無しを示すダミーナンバー	총 부품 없음을 나타내는 더미 번호
94	ui	15	3	花粉を受粉させてできた黄金の実\n最高速度を上げる効果がある	꽃가루를 수분시켜 맺힌 황금 열매\n최고속도를 올리는 효과가 있다
95	ui	9	3	自我発生による障害	자아 발생에 의한 장애
96	ui	17	3	自分でも、子供じみた考えだと思う。\nそれでも儀は、ラギの成長した姿を\n見てみたい。そして、一度でいいから\nあの翼で飛んでみたい。\n小さい頃に聞いたおとぎ話に出てきた\nドラゴン乗りのように。	나 스스로도 유치한 생각이라 여긴다.\n그래도 나는 라기가 자란 모습을\n보고 싶다.그리고 단 한 번이라도\n그 날개로 날아보고 싶다.\n어릴 적 들었던 옛이야기에 나오던\n드래곤 라이더처럼.
97	ui	17	3	皇帝陛下の動命により、当該飛行物体\n(現地語に基づき「シェルクーフ」と\n呼称)の追跡が開始されたが、探索\n部隊と合流する時点で、メッカニア\n連邦軍と衝突。全面戦争に発展する\n結果となった。	황제 폐하의 명에 따라 해당 비행물체\n(현지어에 따라 「셰르쿠프」라\n칭함)의 추적이 개시되었으나 수색\n부대와 합류하는 시점에서 메카니아\n연방군과 충돌.전면전쟁으로 번지는\n결과가 되었다.
98	ui	13	3	現在までに倒した帝国軍兵装	지금까지 쓰러뜨린 제국군 병장
99	ui	17	3	現在までに倒したクレイメン艦隊兵装	지금까지 쓰러뜨린 클레이멘 함대 병장
100	ui	12	3	渓谷地帯で戦った。\n背中を見せない限り襲って\nこないし、動きも遅い。\n油断さえしなければ確実に\n倒せる敵だ。	협곡지대에서 싸웠다.\n등을 보이지 않는 한 덤벼\n오지 않고 움직임도 느리다.\n방심만 안 하면 확실히\n쓰러뜨릴 수 있는 적이다
101	ui	17	3	昨日、儀は帰る場所を失った。\n住んでいた家も、村のみんなも、\nあの光とともに消えてしまった。\n突然現れた、旧世紀の巨大な機械。\nその機械が放った一条の光は、儀の\n生まれた村を、黒焦げの廃虚に変えて\nしまった。	어제,나는 돌아갈 곳을 잃었다.\n살던 집도,마을 사람들도\n그 빛과 함께 사라져버렸다.\n갑자기 나타난 구세기의 거대한 기계.\n그 기계가 쏜 한 줄기 빛은\n내가 태어난 마을을 새까맣게 탄\n폐허로 바꿔버렸다.
102	ui	9	3	旧世紀兵器の残骸\n店で売れば金になる	구세기 병기의 잔해\n가게에 팔면 돈이 된다
103	ui	9	3	旧世紀兵器の外装甲\n店で売れば金になる	구세기 병기의 외장갑\n가게에 팔면 돈이 된다
104	ui	17	3	旧世紀の記録によれば、ドラゴンと\n禁断兵器『塔』は、何らかの形で同調\nしているという。\nこの解釈として、アカデミーでは\n「ドラゴン=塔の守護者」説と\n「ドラゴン=塔の破壊者」説の2つが\nほぼ同等の支持を得ている。	구세기 기록에 따르면 드래곤과\n금단병기 『탑』은 어떤 형태로든 동조\n한다고 한다.\n이 해석으로 아카데미에서는\n「드래곤=탑의 수호자」설과\n「드래곤=탑의 파괴자」설,두 가지가\n거의 대등한 지지를 얻고 있다.
105	ui	11	3	敵の攻撃を一定時間防ぐ	적 공격을 일정시간 막는다
106	ui	17	3	攻性生物を倒した後、儀は初めて\n旧世紀の遣跡に入った。\n遣跡の中は、想像とはまるで違った。\n番人のように襲ってくる攻性生物の\n群れ、大陸全てが潤うほどの湖、\n奇妙な機械が眠り続ける迷宮。\nそこには、死の匂いだけがあった。	공성생물을 쓰러뜨린 후,나는 처음으로\n구세기의 유적에 들어갔다.\n유적 안은,상상과는 전혀 달랐다.\n파수꾼처럼 덮쳐오는 공성생물의\n무리,대륙 전체를 적실 만한 호수,\n기묘한 기계가 계속 잠든 미궁.\n그곳에는,죽음의 냄새만이 있었다.
107	ui	7	3	攻性生物の肉塊\n高値で売れる	공성생물의 고깃덩이\n비싸게 팔린다
108	ui	9	3	攻性生物の眼球\n店で売れば金になる	공성생물의 안구\n가게에 팔면 돈이 된다
109	ui	9	3	攻性生物の甲皮\n店で売れば金になる	공성생물의 껍질\n가게에 팔면 돈이 된다
110	ui	9	3	攻性生物の特殊装甲\n店で売れば金になる	공성생물의 특수장갑\n가게에 팔면 돈이 된다
111	ui	9	3	攻性生物の体液\n店で売れば金になる	공성생물의 체액\n가게에 팔면 돈이 된다
112	ui	12	3	攻性生物が体内で作る宝石\n高値で売れる	공성생물이 체내에 만든 보석\n비싸게 팔린다
113	ui	17	3	戦っている間、儀はラギと一体に\nなったようだった。恐れは消え去り、\n自信と使命感が全身にあふれていた。\nあれは儀自身の意思なのか…それとも\nドラゴンとしてのラギの意思が、儀を\n突き動かしていただけなのか。	싸우는 동안,나는 라기와 하나가\n된 것 같았다.두려움은 사라지고,\n자신감과 사명감이 온몸에 넘쳐흘렀다.\n그것은 나 자신의 의지였을까…아니면\n드래곤으로서의 라기의 의지가,나를\n움직이게 했을 뿐이었을까.
114	ui	17	3	我らの目に映るものは、ただひとつを\nのぞいて、この時に創造された。\n水や草や獣は、人の糧として、\n遣跡は、人と神の家として、\n攻性生物は、人のしもべとして、\nそれぞれの役割を果たした。	우리의 눈에 비치는 것은,단 하나를\n제외하고,이때 창조되었다.\n물과 풀과 짐승은,사람의 양식으로서,\n유적은,사람과 신의 집으로서,\n공성생물은,사람의 종으로서,\n각자의 역할을 다했다.
115	ui	17	3	我々シーカーが、塔とセストレンに\nよる管理システムの存在を知ることが\nできたのも、情報系構造体の再起動に\n成功したからだが、この種の構造体の\n一部には、情報の記録以外にも重要な\n機能が存在することがわかった。	우리 시커가,탑과 세스트렌에\n의한 관리 시스템의 존재를 알 수\n있었던 것도,정보계 구조체의 재기동에\n성공했기 때문인데,이런 종류의 구조체\n일부에는,정보 기록 외에도 중요한\n기능이 존재한다는 것을 알게 되었다.
116	ui	16	3	思考器官の複雑さゆえに、生産数は\n微々たるものであり、重要度の高い\n生産施設の統括用として、優先的に\n配備されている。\nまた、高機能攻性生物の頭脳として\n利用する計画も進行中である。	사고기관의 복잡함 때문에,생산 수는\n미미한 편이며,중요도가 높은\n생산 시설의 통괄용으로,우선적으로\n배치되고 있다.\n또한,고기능 공성생물의 두뇌로\n이용할 계획도 진행 중이다.
117	ui	17	3	彼がなぜ異端の誕生を遂げたのか、\nそれは定かではない。彼が私のもとで\n幼き日を過ごしたのも、単なる偶然で\nしかなかったのかもしれない。\nしかし、彼は私を乗り手に選び、\n塔によって故郷を滅ぼされた私もまた\n彼の翼と力を欲した。	그가 왜 이단으로 태어나게 되었는지,\n그것은 확실치 않다.그가 나의 곁에서\n어린 시절을 보낸 것도,단순한 우연에\n지나지 않았을지도 모른다.\n하지만,그는 나를 탑승자로 선택했고,\n탑에 의해 고향을 잃은 나 역시\n그의 날개와 힘을 원했다.
118	ui	10	3	当たりづらいが威力大	맞히기 어렵지만 위력 큼
119	ui	14	3	広範囲に威力のある手投げ爆弾	넓은 범위에 위력이 있는 수류탄
120	ui	17	3	幸い、王宮とアカデミーの被害は\n軽微なものであったが、これを機に\n帝都(特に王宮)の防衛構想が大幅に\n見直されることとなった。その結果、\n超大型空中戦艦「グリグオリグ」の\n建造が開始されたのである。	다행히,왕궁과 아카데미의 피해는\n경미한 것이었으나,이를 계기로\n제도(특히 왕궁)의 방위 구상이 대폭\n재검토되게 되었다.그 결과,\n초대형 공중전함 「그리그오리그」의\n건조가 시작된 것이다.
121	ui	17	3	帝都上空を周回するグリグオリグは、\nそれ自体が宙に浮かぶ王宮である。\nこれが完成した暁には、たとえ\nドラゴンといえども、皇帝陛下に\n危害を加えることは不可能であろう。	제도 상공을 선회하는 그리그오리그는,\n그 자체가 하늘에 뜬 왕궁이다.\n이것이 완성되는 날에는,설령\n드래곤이라 할지라도,황제 폐하에게\n위해를 가하는 것은 불가능할 것이다.
122	ui	18	3	帝国軍空中艦隊駐屯地ボス戦(噴進弾)	제국군 공중함대 주둔지 보스전(분진탄)
123	ui	13	3	帝国軍空中艦隊駐屯地クリア	제국군 공중함대 주둔지 클리어
124	ui	19	3	帝国軍空中艦隊中ボス戦(グリグオリグ)	제국군 공중함대 중간보스전(그리그오리그)
125	ui	12	3	帝国軍が地方出身の新兵に\n配布している冊子	제국군이 지방 출신 신병에게\n배포하는 책자
126	ui	16	3	帝国暦89年の『塔』起動実験に\nおいて、2頭のドラゴンがまったく\n相反する行動をとったことが\n解釈の混乱を招いているのだが、\nこれに関しては、いまだ情報不足で\nあると言わざるを得ない。	제국력 89년의 『탑』기동 실험에\n있어서,두 마리의 드래곤이 완전히\n상반된 행동을 취한 것이\n해석의 혼란을 초래하는데,\n이에 관해서는,아직 정보 부족이라고\n말할 수밖에.
127	ui	10	3	差出人の名がない手紙	보낸이 이름이 없는 편지
128	ui	12	3	対攻性生物用の攻撃機。\n神経弾や対攻性生物弾を\n積んでいる。護衛機を\n従えていることも多い。\nこちらの動きを追って砲を\n向けてくるが、落ち着いて\n逃げれば大丈夫だろう。	대공성생물용 공격기.\n신경탄이나 대공성생물탄을\n탑재한다.호위기를\n거느리고 있는 경우도 많다.\n이쪽의 움직임을 쫓아 포를\n겨누지만,침착하게\n도망치면 괜찮을 것이다.
129	ui	12	3	対攻性生物用の攻撃機。\n攻撃力や防御力を下げる\n特殊な弾を撃ってくるが、\n強力な武器を積むために\n耐久力を犠牲にしている。	대공성생물용 공격기.\n공격력이나 방어력을 낮추는\n특수한 탄을 쏘지만,\n강력한 무기를 탑재하기 위해\n내구력을 희생한다.
130	ui	17	3	宙に浮かぶ旧世紀の機械に向けて、\nラギが放ったもの…それはドラゴンの\n「光の矢」だった。\n \n儀の夢想は、現実になってしまった。\n今まで儀のまわりにあった、全ての\n現実を代償にして。	하늘에 떠 있는 구세기 기계를 향해,\n라기가 쏜 것…그것은 드래곤의\n「빛의 화살」이었다.\n \n나의 몽상은,현실이 되고 말았다.\n지금까지 내 주변에 있던,모든\n현실을 대가로 삼아서.
131	ui	16	3	守護地に生まれた人よ、忘れるな。\nあなたの上に降る「護り火」は、\n掟と引きかえであることを。\nその光は、終息日まで、\n絶えることがあってはならない。	수호지에서 태어난 자여,잊지 마라.\n그대 위에 내리는 「수호의 불」은,\n계율과 맞바꾼 것임을.\n그 빛은,종식일까지,\n끊어져서는 안 된다.
132	ui	9	3	壊れた掘削機の部品\n店で売れば金になる	부서진 굴착기 부품\n가게에 팔면 돈이 된다
133	ui	17	3	塔内部には、ローター・パイルと\n呼ばれる動力装置が6基存在する。\nこれが起動すると、層内の移動が\n阻まれるが、外周部にある制御装置で\n停止させることが可能である。\n制御装置の場所は以下の通りである。	탑 내부에는,로터 파일이라\n불리는 동력 장치가 6기 존재한다.\n이것이 가동하면,층 내 이동이\n저지되지만,외주부에 있는 제어 장치로\n정지시키는 것이 가능하다.\n제어 장치의 위치는 다음과 같다.
134	ui	17	3	塔は、大気・水・土壌などを浄化して\n生存に適した環境を拡大する一方、\n再生した環境を斉かす要素、すなわち\n人間を排除するため、内部で生産した\n攻性生物を使役している。	탑은,대기・물・토양 등을 정화하여\n생존에 적합한 환경을 확대하는 한편,\n재생한 환경을 어지럽히는 요소,즉\n인간을 배제하기 위해,내부에서 생산한\n공성생물을 사역한다.
135	ui	12	3	塔の最上層で襲ってきた。\n空中機雷や対空誘導弾など\n驚くほどたくさんの武器を\n持っていたが、こいつは\nただの囮だった。	탑의 최상층에서 습격해왔다.\n공중 기뢰나 대공 유도탄 등\n놀랄 만큼 많은 무기를\n가지고 있었지만,이 녀석은\n그저 미끼였다.
136	ui	17	3	塔の引き上げ成功を機に、本格的な\n調査が開始されたが、起動に必要な\n要素の解明は困難を極めた。\n外部刺激実験も引き続き行われたが、\n浮上以後、明確な反応は確認できなく\nなっていた。	탑의 인양 성공을 계기로,본격적인\n조사가 시작되었지만,기동에 필요한\n요소의 규명은 극히 곤란했다.\n외부 자극 실험도 계속 이루어졌지만,\n부상 이후,명확한 반응은 확인할 수\n없게 되어 있었다.
137	ui	17	3	君が乗るドラゴンは、我が友の魂を\n宿している。\nそれは、この世でただ1頭の、\n「塔を殺す」ドラゴンの魂である。\nゆえに、君は他のすべてのドラゴンを\n敵に回さなければならない。	그대가 타는 드래곤은,내 벗의 영혼을\n깃들인다.\n그것은,이 세상에 단 한 마리뿐인,\n「탑을 죽이는」드래곤의 영혼이다.\n그러므로,그대는 다른 모든 드래곤을\n적으로 돌려야만 한다.
138	ui	17	3	原初の朝、\n神は、すべての人を創造した。\nみずからにかわって、\n世界を創造させるためである。\n弱き人にそれを可能ならしめるべく、\n神の持てる知恵は、\nことごとく人の魂に注がれた。	태초의 아침,\n신은 모든 인간을 창조했다.\n자신을 대신하여,\n세계를 창조하게 하기 위함이었다.\n나약한 인간이 그것을 가능케 하도록,\n신이 지닌 지혜는\n남김없이 인간의 영혼에 쏟아부어졌다.
139	ui	17	3	個体によって役割は多少異なるが、\n塔の機能は大きく2つに分けられる。\nすなわち、環境維持・再生機能と\n攻性生物生産・統括機能である。	개체에 따라 역할은 다소 다르지만,\n탑의 기능은 크게 두 가지로 나뉜다.\n즉,환경 유지・재생 기능과\n공성생물 생산・통괄 기능이다.
140	ui	17	3	他種自律構造体との同調・制御。\n複雑かつ巨大な構造体と同調するには\nそれに比例して高度な思考レベルが\n必要となる。\nしかし、思考レベル80以上の個体の\n生産は、自我発生の可能性が極めて\n高いので、全面的に禁じられている。	타종 자율 구조체와의 동조・제어.\n복잡하고 거대한 구조체와 동조하려면\n그에 비례하여 고도의 사고 레벨이\n필요하다.\n하지만 사고 레벨 80 이상 개체의\n생산은,자아 발생 가능성이 극히\n높기 때문에 전면적으로 금지돼 있다.
141	ui	17	3	今日の出来事を、どう言棄にすれば\nいいのだろう。\nゲオルギウスに沈んだ旧世紀のフネ。\n例のドラゴンが、異形の姿となって\n挑んできた最後の戦い。\nそして、その戦いに勝った後に、\nラギが見せてくれた幻。	오늘 있었던 일을 어떻게 말로\n표현하면 좋을까.\n게오르기우스에 가라앉은 구세기의 배.\n그 드래곤이 이형의 모습이 되어\n도전해 온 마지막 싸움.\n그리고 그 싸움에서 이긴 후,\n라기가 보여준 환영.
142	ui	17	3	世界をいまの形に定めているのは、\n『塔』と呼ばれる遣跡群である。\n各地に建造された塔は、旧世紀の\n世界管理の要として、攻性生物による\n死の裁きを司っている。	세계를 지금의 형태로 정하는 것은,\n『탑』이라 불리는 유적군이다.\n각지에 건조된 탑은,구세기의\n세계 관리의 요체로서,공성생물에 의한\n죽음의 심판을 관장한다.
143	ui	15	3	・1号基…外周部15階東側\n・2号基…外周部14階西側\n・3号基…外周部7階西側\n・4号基…外周部4階東側\n・5号基…外周部3階西側\n・6号基…外周部3階北側\n    (階下からのみ進入可)	・1호기…외주부 15층 동쪽\n・2호기…외주부 14층 서쪽\n・3호기…외주부 7층 서쪽\n・4호기…외주부 4층 동쪽\n・5호기…외주부 3층 서쪽\n・6호기…외주부 3층 북쪽\n    (아래층에서만 진입 가능)
144	ui	12	3	ヴァルナ級が採用される\nまでは主力戦艦だったが、\n今ではほとんどが廃艦に\nなっているらしい。\nしかし、兵装だけは今の\nものに替えられているので\n火力だけならヴァルナ級に\n匹敵する。	바르나급이 채용되기\n전까지는 주력 전함이었지만,\n지금은 대부분 폐함이\n된 듯하다.\n하지만 무장만은 현재의\n것으로 교체돼 있어서\n화력만큼은 바르나급에\n필적한다.
145	ui	9	3	ランプの油\n店で売れば金になる	램프의 기름\n가게에 팔면 돈이 된다
146	ui	17	3	ラギが儀のもとを去ったという事実も\nあの幻ほどには心を動かさない。\n別れの一瞬、儀は、ラギが秘めている\n秘密を託されたのだ。\n \n彼と、そして世界の誕生の秘密を。	라기가 나의 곁을 떠났다는 사실도\n그 환영만큼은 마음을 흔들지 못한다.\n이별의 한순간,나는 라기가 간직한\n비밀을 전해 받았다.\n \n그와,그리고 세계 탄생의 비밀을.
147	ui	20	3	メル=カヴァの内部で、\nバリスタを守るバリアを制御していた装置。\n中心部にある弱点は、\nレーザーを吸収する盾と\n装甲で防御されていた。	멜=카바 내부에서\n발리스타를 지키는 배리어를 제어하던 장치.\n중심부에 있는 약점은\n레이저를 흡수하는 방패와\n장갑으로 방어되어 있었다.
148	ui	17	3	メッカニア連邦からの使者が、\n成長したクーリアを買い取りに来る。\n儀のガドに高値がついたらしく、\n今日の食事はいつもより多かった。\nでも、殺された変種の子の後始末を\nしたので、食べる気になれない。	메카니아 연방에서 온 사자가,\n다 자란 쿠리아를 사러 왔다.\n내 가도에 비싼 값이 매겨졌는지,\n오늘 식사는 평소보다 많았다.\n하지만 죽임당한 변종 새끼의 뒷정리를\n했기에,먹을 마음이 들지 않는다.
149	ui	10	3	ドラゴン遣跡の鍵入手	드래곤 유적의 열쇠 입수
150	ui	17	3	ドラゴンの異端児である我が友は、\nその誕生もまた異端であった。\n我が友は、クーリアの変種として生を\n受け、私の庇護のもとで育った。\nそして、塔のひとつと遭遇したとき、\n突如ドラゴンの力に目覚めたのだ。	드래곤의 이단아인 나의 벗은,\n그 탄생 또한 이단이었다.\n나의 벗은 쿨리아의 변종으로 생을\n받아,나의 비호 아래 자랐다.\n그리고 탑 중 하나와 조우했을 때,\n돌연 드래곤의 힘에 눈을 뜬 것이다.
151	ui	17	3	ドラゴンの主な武器は、□腔内より\n発射される複数の雷撃である。この\n雷撃は、目標に向けて屈曲するという\n特異な性質を持っている。\nまた、個体によっては、若干の\n追尾性を備えた実体弾や、生体粒子の\n波動を放つことが確認されている。	드래곤의 주된 무기는 □강 내에서\n발사되는 다수의 뇌격이다.이\n뇌격은 목표를 향해 굴곡한다는\n특이한 성질을 가진다.\n또한 개체에 따라서는 약간의\n추적성을 갖춘 실체탄이나,생체 입자의\n파동을 방출하는 것이 확인되었다.
152	ui	17	3	ドラゴンに関する記録の中で特に注目\nすべきは、その背に人間を騎乗させて\nいたという目撃例であろう。\nクーリアなど、退化したごく一部の\n種を除けば、このような行動を示す\n攻性生物は皆無である。	드래곤에 관한 기록 중에서 특히 주목\n해야 할 것은,그 등에 인간을 태우고\n있었다는 목격 사례일 것이다.\n쿨리아 등,퇴화한 극히 일부의\n종을 제외하면,이러한 행동을 보이는\n공성생물은 전무하다.
153	ui	10	3	ドラゴンに名前付けた	드래곤에게 이름을 붙였다
154	ui	17	3	ゾアの街の言い伝えには、\nメル=カヴァを支える「両輪」という\n表現がある。\n古くさい言い回しだが、要するに\nメル=カヴァは2基のエンジンで\n飛んでいるということが言いたい\nらしい。	조아 시가지의 전승에는\n메르=카바를 지탱하는 「양 바퀴」라는\n표현이 있다.\n낡은 표현이지만,요컨대\n메르=카바는 2기의 엔진으로\n날고 있다는 것을 말하고\n싶은 듯하다.
155	ui	9	3	シーカーの里進入可	시커의 마을 진입 가능
156	ui	17	3	コース変更の理由は不明だが、攻撃の\n対象となった村落では、クーリアが\n多数飼育されており、それが何らかの\n形でシェルクーフを呼び寄せたのでは\nないかとする説が有力である。	코스 변경의 이유는 불명이지만,공격의\n대상이 된 촌락에서는 쿨리아가\n다수 사육되고 있었으며,그것이 어떤\n형태로 셸쿠프를 불러들인 것이\n아니냐는 설이 유력하다.
157	ui	10	3	ゲオルギウス3進入可	게오르기우스3 진입 가능
158	ui	12	3	ゲオルギウス2．5進入可	게오르기우스2.5 진입 가능
159	ui	10	3	ゲオルギウス2進入可	게오르기우스2 진입 가능
160	ui	17	3	クールマ型水上前線基地は、2重の\n可動防壁(それぞれ「外部防壁」\n「内部防壁」と呼称)と、その内側に\n配置された各施設から成っている。\nその中でも、最優先で防衛しなければ\nならないのが、基地の中央にある\n司令塔である。(次ページ参照)	쿨마형 수상 전선기지는 2중의\n가동 방벽(각각 「외부 방벽」\n「내부 방벽」이라 호칭)과,그 안쪽에\n배치된 각 시설로 이루어져 있다.\n그중에서도 최우선으로 방위해야\n하는 것이 기지 중앙에 있는\n사령탑이다.(다음 페이지 참조)
