budget	need	why	jp	ko
15	17	예산	放熱モード終了	방열 모드 종료
9	11	예산	教会の鍵	교회의 열쇠
29	31	예산	森の炎は、当分消えないだろう	숲의 불은 당분간 꺼지지 않을 거다
9	11	예산	機銃乱射	기관총 난사
9	11	예산	機銃掃射	기관총 소사
17	19	예산	次の作戦に移るぞ	다음 작전으로 넘어간다
3	5	예산	泥	진흙
35	37	예산	炉心内温度上昇、冷却装置作動します	노심 내 온도 상승, 냉각장치 작동합니다
23	25	예산	皇帝砲発射準備まだか！	황제포 발사 준비 아직인가!
35	37	예산	目標破壊可能ライン到達まで5分です	목표 파괴 가능 라인 도달까지 5분입니다
35	37	예산	目標破壊可能ライン到達まで7分です	목표 파괴 가능 라인 도달까지 7분입니다
33	35	예산	目的地4番発掘所まで、あと30分	목적지 4번 발굴소까지 앞으로 30분
5	7	예산	矢骨	화살촉
35	37	예산	神の領域を荒らす罰当たりってわけさ	신의 영역을 어지럽히는 천벌 받을 짓이지
39	41	예산	私がここまで来られたのはあなたのおかげ	내가 여기까지 올 수 있었던 건 당신 덕분이야
31	33	예산	私はそれを知り、彼女を強尋した	나는 그것을 알고, 그녀를 강하게 다그쳤다
11	13	예산	立てるか？	설 수 있겠나?
23	25	예산	自分が生きた証としてな	자신이 살았다는 증거로서 말이지
15	17	예산	迎撃機発進完了	요격기 발진 완료
23	25	예산	逃げられそうにないな…	도망칠 수 있을 것 같지 않아…
7	9	예산	針千本	바늘천개
3	5	예산	鈴	방울
29	31	예산	隊長やみんなの仇を討ちたい…	대장님과 모두의 원수를 갚고 싶어…
9	11	예산	雷雲招集	뇌운 소환
17	19	예산	青い扉が目印だぜ	파란 문이 표식이라고
27	29	예산	頼んだぞ、礼ははずむからな	부탁한다, 사례는 두둑이 할 테니
11	12	예산	話をやめる	이야기를 그만둔다
19	20	예산	バイマンの家への道	바이만의 집으로 가는 길
7	8	예산	塔の話	탑 이야기
2	3	예산	よ	요
7	8	예산	に設定	으로 설정
11	12	예산	夜まで待つ	밤까지 기다린다
6	7	예산	<16>れた	<16>남았다
19	20	예산	緊急非常事態発令！	긴급 비상사태 발령！
9	10	예산	体当たり	몸통박치기
21	22	예산	第2種警戒態勢発令！	제2종 경계태세 발령！
5	6	예산	了解	알았다
13	14	예산	ウル 北奥部	울 북쪽 안쪽
6	7	예산	チ内部	치 내부
37	38	예산	外界との交渉に備えて集めた資料だが…	외부 세계와의 교섭에 대비해 모은 자료지만…
9	10	예산	火炎噴射	화염 분사
13	14	예산	通路への入□	통로로 가는 입구
42	43	예산	                  <03><01>記<03>	                   <03><01>기<03>
35	36	예산	(横にあるロックを外すのが先か…)	(옆에 있는 잠금장치를 푸는 게 먼저인가…)
19	20	예산	…で、どんな感じ？	…그래서, 어떤 느낌이야?
37	38	예산	そいつのうまさがわかれば、一人前だぜ	그 맛을 알게 되면 한 사람 몫은 하는 거야
37	38	예산	ひとりで砂漠越えは無理さ、考え直せよ	혼자서 사막을 건너는 건 무리야, 다시 생각해
4	5	예산	め□	눈□
15	16	예산	よう、新顔だな	어이, 새 얼굴이군
21	22	예산	ワシの名はラドガムだ	이 몸의 이름은 라드감이다
13	14	예산	光粒子分散弾	광입자 분산탄
11	12	예산	少し…怖い	조금… 무섭다
31	32	예산	最近、開放区によく行くらしいね	요즘, 개방구에 자주 가는 것 같더라
11	12	예산	灼熱の吐息	작열의 숨결
37	38	예산	街や村を離れるほど、物騒になるからな	마을이나 촌락에서 멀어질수록 위험해지니까 말이야
22	23	예산	(あの<03>\n黒い遣跡の所<03>	(저<03>\n검은 유적이 있는 곳<03>
27	28	예산	(あの袋も作物入りらしい)	(저 자루도 작물이 들어있는 듯하다)
23	24	예산	(これで塔に行ける…)	(이걸로 탑에 갈 수 있어…)
25	26	예산	(儀式に使う祭壇らしい)	(의식에 쓰는 제단인 모양이다)
23	24	예산	(攻生成物避けの香石)	(공격성 생물 퇴치용 향석)
31	32	예산	(棚には売り物が並んでいる…)	(선반에 팔 물건이 진열되어 있다…)
25	26	예산	(窓の灯は消えている…)	(창문의 불빛이 꺼져 있다…)
23	24	예산	(街の外に通じる門だ)	(마을 밖으로 통하는 문이다)
29	30	예산	(近よらないと動かせないな)	(가까이 가지 않으면 움직일 수 없군)
35	36	예산	(道具箱の中身が床に転がっている)	(도구 상자 안의 내용물이 바닥에 널려 있다)
23	24	예산	(食器の入った棚だ…)	(식기가 들어 있는 선반이다…)
17	18	예산	057AD登場2	057AD 등장2
17	18	예산	1000Dnで買う	1000Dn에 사다
167	168	예산	3)中間層から外周部8階へ→\n  8階から昇降機で6階へ→\n  6階から下部格納層へ\n\n4)下部格納層から外周部5階へ→\n  5階から昇降機で4階へ→\n  4階から最下層へ	3) 중간층에서 외주부 8층으로→\n  8층에서 승강기로 6층으로→\n  6층에서 하부 격납층으로\n\n4) 하부 격납층에서 외주부 5층으로→\n  5층에서 승강기로 4층으로→\n  4층에서 최하층으로
23	24	예산	50年前にここに落ちた	50년 전에 여기에 떨어졌다
17	18	예산	<09>\n<05>ヤぬ<01>遣跡最下層	<09>\n<05>야누<01>유적 최하층
8	9	예산	<0C>たりな	<0C>거나 말이지
8	9	예산	<1B>からな	<1B>니까 말이야
8	9	예산	<1B>そうだ	<1B> 것 같다
14	15	예산	<1E>ほしいそうだ	<1E> 원하는 것 같다
10	11	예산	<1F>思ってる	<1F>생각하고 있다
33	34	예산	…かつて、一夜にして3つの大陸を	…예전에, 하룻밤 사이에 세 개의 대륙을
11	12	예산	…バカな！	…말도 안 돼！
25	26	예산	あいつが教会に用事とはね	그 녀석이 교회에 볼일이 있다니
31	32	예산	あとは地下をまっすぐ飛ぶだけだ	나머지는 지하를 곧장 날아가기만 하면 돼
17	18	예산	あの発掘所でな！	그 발굴소에서 말이지!
39	40	예산	ある国が旧世紀の空飛ぶ船を発掘したんだ	어느 나라가 구세기의 하늘을 나는 배를 발굴했어
29	30	예산	あんたが起こした攻性生物にな	당신이 일으킨 공성 생물한테 말이야
29	30	예산	いつまでも悲しんではおれんよ	언제까지고 슬퍼만 하고 있을 수는 없어
17	18	예산	いまさら何を驚く	이제 와서 뭘 놀라나
21	22	예산	ええ、でも私は大丈夫	네, 하지만 저는 괜찮아요
11	12	예산	ここは昔、	여기는 옛날에,
29	30	예산	この「護り火」は、ゾアの命だ	이 「수호의 불」은, 조아의 목숨이다
29	30	예산	この世ならぬ道で塔とつながり	이 세상이 아닌 길로 탑과 이어지고
19	20	예산	これからどうする？	앞으로 어떻게 할 거야?
21	22	예산	これで下へ出られるわ	이걸로 아래로 나갈 수 있어
25	26	예산	こんな街の親玉になって…	이런 거리의 우두머리가 되어서는…
39	40	예산	そうすれば、あの人たちは無事逃げられる	그렇게 하면, 그 사람들은 무사히 도망칠 수 있어
19	20	예산	それ、欲しいのか？	그거, 갖고 싶은 거냐?
17	18	예산	それを押せば動く	그것을 누르면 움직인다
23	24	예산	そんな事がわかるのか？	그런 걸 알 수 있는 거야?
31	32	예산	ただ、偶然塔が写ってた透視板を	다만, 우연히 탑이 비쳤던 투시판을
31	32	예산	だが、失われた文明の力を借りた	하지만, 잃어버린 문명의 힘을 빌린
25	26	예산	だけど、奴は本望だろうよ	그렇지만, 그놈은 만족스러울 거야
25	26	예산	だめ…じかに接続しないと	안 돼… 직접 접속하지 않으면
29	30	예산	てめえと給金を分ける気はねえ	네놈이랑 급료를 나눌 생각은 없다
29	30	예산	でも、この事は誰にも言うなよ	하지만, 이 일은 아무한테도 말하지 마
31	32	예산	でも、俺は完璧を目指したいのさ	하지만, 나는 완벽을 목표로 하고 싶어
31	32	예산	ところが、ちと水が増えすぎてな	그런데, 물이 좀 너무 불어나서 말이지
23	24	예산	とても勝ち目などない…	도저히 승산 같은 건 없다…
11	12	예산	どっちだ！	어느 쪽이냐!
17	18	예산	なぜ正体を隠す？	어째서 정체를 숨기지?
37	38	예산	なら、「重力の道」には用心することだ	그렇다면, '중력의 길'은 조심하는 게 좋다
13	14	예산	なんか用か？	뭔 볼일 있어?
21	22	예산	なんだ、不満そうだな	뭐야, 불만스러운 모양이군
4	5	예산	な？	그치?
9	10	예산	ひ、人？	히, 사람?
17	18	예산	まだ、倒せない！	아직, 못 쓰러뜨려!
25	26	예산	まったく…何様のつもりだ	정말…뭐라도 되는 줄 아는 거냐
33	34	예산	ようやくこの力を我が物にできる…	드디어 이 힘을 내 것으로 만들 수 있다…
6	7	예산	りたい	고 싶다
7	8	예산	りん粉	린 가루
9	10	예산	わかるさ	알 수 있어
8	9	예산	を守る…	를 지킨다…
20	21	예산	を尋われた人達なんだ	거처를 빼앗긴 사람들이야
4	5	예산	んぜ	겠다고
15	16	예산	ウル連続戦闘1	울 연속 전투1
15	16	예산	ウル連続戦闘2	울 연속 전투2
15	16	예산	ウル連続戦闘3	울 연속 전투3
35	36	예산	シーカーと親しくするのはやめときな	시커와 친하게 지내는 건 그만두는 게 좋아
35	36	예산	シーカーの噂は前から聞いていたが…	시커에 관한 소문은 전부터 듣고 있었지만…
6	7	예산	ッジ君	-지 군
37	38	예산	ベゼルの奴、その船で街を出るんだとよ	베젤 그 녀석, 그 배로 마을을 떠난다더군
19	20	예산	メル=カヴァ進入可	멜=카바 진입 가능
14	15	예산	ワの聖堂にある	와의 성당에 있다
29	30	예산	ワシと、あとひとりを除いてな	나와, 그리고 한 명을 제외하고 말이지
17	18	예산	ワシも、もう年だ	나도 이제 나이가 들었어
17	18	예산	主砲、充填急げ！	주포, 충전 서둘러!
5	6	예산	人だ	사람이다
15	16	예산	人移動時操作系	인간 이동시 조작계
33	34	예산	人類が生き続ける環境を作ること…	인류가 계속 살아갈 환경을 만드는 것…
11	12	예산	今ならまだ	지금이라면 아직
31	32	예산	任務完遂のため捨て身でかかるぞ	임무 완수를 위해 몸을 던져 덤빈다
33	34	예산	何かを残したくなる時が来るものだ	뭔가를 남기고 싶어지는 때가 오는 법이다
7	8	예산	俺か？	나 말이야?
25	26	예산	俺はこの辺りを調べてくる	난 이 근처를 살펴보고 올게
31	32	예산	俺は何年も門番をやっていますが	저는 몇 년째 문지기를 하고 있습니다만
27	28	예산	全てを手にしようとしている	모든 것을 손에 넣으려 하고 있다
23	24	예산	全艦、戦闘隊形を取れ！	전함, 전투 대형을 갖춰라！
15	16	예산	再生は夢の続き	재생은 꿈의 연속
27	28	예산	初めて会った時の事は謝るよ	처음 만났을 때 일은 사과할게
21	22	예산	別に、謝るこたねえよ	딱히 사과할 것까진 없어
7	8	예산	前後左	전・후・좌
39	40	예산	各部に伝達、皇帝砲発射の衝撃に備えろ！	각 부서에 전달, 황제포 발사 충격에 대비하라！
7	8	예산	同時刻	같은 시각
13	14	예산	回転砲台準備	회전 포대 준비
11	12	예산	塔の総入手	탑 총 입수
9	10	예산	女がいた	여자가 있었다
23	24	예산	奴は薄汚い裏切り者だ！	그 녀석은 더러운 배신자다！
21	22	예산	奴らには目も耳もない	그놈들에겐 눈도 귀도 없다
25	26	예산	弾が近い敵3体に分散する	탄이 가까운 적 3체로 분산
33	34	예산	彼女には、ここに残ってもらいます	그녀에게는, 이곳에 남아 달라고 하겠습니다
19	20	예산	後続隊、後は頼む…	후속대, 뒤는 부탁한다…
15	16	예산	得体が知れない	정체를 알 수 없다
11	12	예산	思わない…	생각하지 않는다…
19	20	예산	悪い話ではなかろう	나쁜 이야기는 아닐 것이다
13	14	예산	慣性飛行段階	관성비행 단계
7	8	예산	撃つな	쏘지 마
21	22	예산	文明の力ってやつをな	문명의 힘이라는 걸 말이지
17	18	예산	方法は色々あるぜ	방법은 여러 가지 있어
21	22	예산	旧世紀の連中ってさ…	구세기 놈들이란 게 말이지…
17	18	예산	早く叩き落とせ！	빨리 쳐서 떨어뜨려!
23	24	예산	明日、もう一度来いって	내일 한 번 더 오라던데
13	14	예산	末端誘導段階	말단 유도 단계
23	24	예산	機関部破損、被害軽微！	기관부 파손, 피해 경미!
31	32	예산	機関部被弾、戦闘維続不能です！	기관부 피탄, 전투 지속 불가합니다!
17	18	예산	欲望は戦乱を生む	욕망은 전란을 낳는다
11	12	예산	永かった…	오래 걸렸다…
9	10	예산	熱量過多	열량 과다
34	35	예산	珍しい種類の食用植物\n高値で売れる	희귀한 종류의 식용식물\n비싸게 팔린다
11	12	예산	現在装着中	현재 장착중
19	20	예산	生かされてるだけだ	그저 살려지고 있을 뿐이다
25	26	예산	生体兵器実験棟へのゲート	생체병기 실험동으로 가는 게이트
13	14	예산	発掘所を出る	발굴소를 나선다
37	38	예산	神をも恐れぬってのは、奴らのことだな	신조차 두려워하지 않는다는 게, 그놈들 얘기다
23	24	예산	私も、そう思っていた…	나도, 그렇게 생각하고 있었어…
9	10	예산	耐性変化	내성 변화
21	22	예산	色々考えたんだけど…	이런저런 생각을 해봤는데…
23	24	예산	輪形陣に穴が開きました	윤형진에 구멍이 뚫렸습니다
37	38	예산	連中、本格的に黒い艦隊を追い始めたぜ	그놈들, 본격적으로 검은 함대를 쫓기 시작했어
13	14	예산	連装式軽爆雷	연장식 경폭뢰
39	40	예산	遂にこの噴進弾を実戦投入する時が来たか	드디어 이 분사탄을 실전 투입할 때가 왔나
19	20	예산	重散弾砲、旋回開始	중산탄포, 선회 개시
13	14	예산	量産ドラゴン	양산형 드래곤
7	8	예산	銃入手	총 입수
31	32	예산	食料の買いつけじゃなさそうだが	식량을 사러 온 건 아닌 것 같은데
41	42	예산	：近い順に威力大\n<03>\nSPIRITUAL系<03>	：가까운 순으로 위력大\n<03>\nSPIRITUAL계<03>
